!
!  N YYYY MM DD  D-Ura(")  D-Nep(")  
!
   1 2009  5 15  3.382664  2.258262
   2 2009  5 16  3.384987  2.259541
   3 2009  5 17  3.387351  2.260824
   4 2009  5 18  3.389745  2.262108
   5 2009  5 19  3.392171  2.263393
   6 2009  5 20  3.394622  2.264679
   7 2009  5 21  3.397103  2.265964
   8 2009  5 22  3.399606  2.267249
   9 2009  5 23  3.402134  2.268533
  10 2009  5 24  3.404686  2.269816
  11 2009  5 25  3.407260  2.271095
  12 2009  5 26  3.409857  2.272375
  13 2009  5 27  3.412475  2.273652
  14 2009  5 28  3.415113  2.274928
  15 2009  5 29  3.417771  2.276200
  16 2009  5 30  3.420449  2.277469
  17 2009  5 31  3.423143  2.278735
  18 2009  6  1  3.425856  2.279997
  19 2009  6  2  3.428585  2.281254
  20 2009  6  3  3.431332  2.282507
  21 2009  6  4  3.434093  2.283755
  22 2009  6  5  3.436869  2.284997
  23 2009  6  6  3.439659  2.286234
  24 2009  6  7  3.442463  2.287465
  25 2009  6  8  3.445280  2.288689
  26 2009  6  9  3.448109  2.289906
  27 2009  6 10  3.450949  2.291117
  28 2009  6 11  3.453800  2.292319
  29 2009  6 12  3.456659  2.293514
  30 2009  6 13  3.459530  2.294701
  31 2009  6 14  3.462406  2.295879
  32 2009  6 15  3.465293  2.297048
  33 2009  6 16  3.468185  2.298208
  34 2009  6 17  3.471082  2.299358
  35 2009  6 18  3.473985  2.300498
  36 2009  6 19  3.476893  2.301627
  37 2009  6 20  3.479805  2.302746
  38 2009  6 21  3.482720  2.303854
  39 2009  6 22  3.485637  2.304951
  40 2009  6 23  3.488556  2.306035
  41 2009  6 24  3.491473  2.307108
  42 2009  6 25  3.494392  2.308171
  43 2009  6 26  3.497309  2.309218
  44 2009  6 27  3.500225  2.310252
  45 2009  6 28  3.503137  2.311272
  46 2009  6 29  3.506046  2.312279
  47 2009  6 30  3.508950  2.313272
  48 2009  7  1  3.511851  2.314250
  49 2009  7  2  3.514742  2.315213
  50 2009  7  3  3.517628  2.316161
  51 2009  7  4  3.520507  2.317094
  52 2009  7  5  3.523377  2.318011
