# Date Fnu_150GHz   Fnu_260GHz
20170220 59.494 179.333
20170221 59.172 178.413
20170222 58.799 177.401
20170223 58.366 176.238
20170224 57.907 175.019
20170225 57.456 173.807
20170226 57.027 172.618
20170417 41.940 127.399
20170418 41.593 126.451
20170419 41.230 125.432
20170420 40.855 124.344
20170421 40.476 123.232
20170422 40.143 122.244
20170423 39.830 121.299
20170424 39.559 120.481
20170425 39.331 119.783
20170426 39.127 119.135
20170607 33.578 101.968
20170608 33.654 102.098
20170609 33.732 102.250
20170610 33.795 102.390
20170611 33.826 102.459
20170612 33.806 102.412
20170613 33.745 102.278
20170614 33.640 102.028
20180112 64.801 197.631
20180113 65.590 199.919
20180114 66.469 202.432
20180115 67.417 205.109
20180116 68.407 207.877
20180117 69.432 210.747
20180118 70.467 213.656
20180119 71.477 216.529
20180120 72.451 219.370
20180121 73.368 222.119
20180212 91.897 279.822
20180213 92.642 282.310
20180214 93.454 284.975
20180215 94.358 287.888
20180216 95.416 291.223
20180217 96.562 294.748
20180218 97.865 298.673
20180219 99.319 302.967
20180220 100.930 307.657
20180221 102.679 312.689
20180302 119.064 360.825
20180303 120.546 365.535
20180304 122.006 370.151
20180305 123.511 374.852
20180306 125.098 379.715
20180307 126.806 384.850
20180308 128.662 390.344
20180309 130.666 396.219
20180310 132.784 402.394
20180311 134.920 408.634
20180312 137.190 415.339
20180313 139.438 422.056
20180314 141.609 428.654
20180315 143.684 435.095
20180316 145.626 441.251
20180317 147.450 447.160
20180318 149.215 452.964
20180319 150.968 458.758
20180320 152.720 464.559
20180321 154.492 470.395
20180521 495.025 1503.775
20180522 506.079 1537.014
20180523 517.634 1571.439
20180524 529.974 1608.143
20180525 542.321 1644.814
20180526 555.393 1683.862
20180527 568.579 1723.529
20180528 581.585 1763.038
20180529 594.272 1802.092
20180530 606.782 1841.162
20180611 771.306 2358.951
20180612 789.861 2414.781
20180613 809.597 2473.599
20180614 830.576 2535.600
20180615 852.571 2600.061
20180616 875.355 2666.639
20180617 898.735 2734.854
20180618 922.241 2803.588
20180619 945.560 2872.489
20180620 968.681 2941.922
20180904 1082.013 3262.640
20180905 1064.143 3206.513
20180906 1045.842 3150.567
20180907 1027.078 3094.605
20180917 850.735 2563.956
20180918 834.263 2512.362
20180919 817.935 2461.835
20180920 801.871 2412.829
20180921 786.026 2365.231
20180922 770.720 2320.123
20180923 755.743 2276.618
20180924 740.654 2232.786
20180925 725.470 2188.458
20180926 710.246 2143.577
20181001 637.479 1922.642
20181002 624.957 1884.166
20181003 613.084 1847.627
20181004 601.914 1813.359
20181005 591.195 1780.357
20181006 581.107 1749.008
20181007 571.488 1718.921
20181008 562.011 1689.110
20181009 552.884 1660.399
20181010 543.919 1632.124
20181029 387.911 1163.889
20181030 381.117 1144.303
20181031 374.340 1124.816
20181101 367.555 1105.229
20181102 360.668 1085.147
20181103 353.681 1064.484
