# RunID	StartDate	EndDate
run22	2017-02-20	2017-02-28
run23	2017-04-14	2017-04-26
run24	2017-06-07	2017-06-14
run25   2017-10-24      2017-10-31
run27	2018-01-12	2018-01-21
run28	2018-02-12	2018-02-21
run29	2018-03-02	2018-03-21
run31	2018-05-21	2018-05-30
run32	2018-06-11	2018-06-20
run33	2018-09-04	2018-09-07
run34	2018-09-17	2018-09-26
run36	2018-10-01	2018-10-10
run37 	2018-10-29	2018-11-07
run38	2018-11-19	2018-11-28
run39	2018-12-04	2018-12-12
run40 	2019-01-14	2019-01-23
run41	2019-01-29	2019-02-06
run42	2019-02-11	2019-02-20
run43	2019-03-04	2019-03-13
run44	2019-03-19	2019-03-27
run46	2019-09-06	2019-09-12
run47	2019-09-12	2019-09-24
run48	2019-10-07	2019-10-23
run49	2019-10-28	2019-11-13
run50	2019-12-08	2019-12-18
run51	2020-01-08	2020-01-21
run52	2020-01-28	2020-02-04
run53	2020-02-11	2020-02-18
run54   2020-02-25	2020-03-03
run55	2020-03-10	2020-03-17
run56	2020-08-06	2020-10-06
run57	2020-10-20	2020-11-03
run58   2020-11-10      2020-11-17
run59   2020-11-17      2020-11-24
run60   2020-12-08      2020-12-15
run61   2021-01-12      2021-01-26
