PROJECT: 193-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-01-25.148;1;2014-01-25 17:46:33;2014-01-25 17:48:20;Uranus;0.00;Lissajous;0.50;NIKA;211.91;51.54;-2.80;3.90;-1.20
2014-02-21.109;1;2014-02-21 13:20:21;2014-02-21 13:33:22;W3OH;0.00;Lissajous;0.16;NIKA;386.79;51.91;-1.00;-4.50;-1.50
2014-02-21.110;1;2014-02-21 13:33:25;2014-02-21 13:34:35;W3OH;0.00;Lissajous;0.04;NIKA;392.84;52.54;-1.00;-4.50;-1.50
2014-02-21.111;1;2014-02-21 13:36:57;2014-02-21 13:42:56;NGC1569;0.00;Lissajous;0.03;NIKA;392.63;52.89;-2.80;-3.00;-1.50
2014-02-21.112;1;2014-02-21 13:42:57;2014-02-21 13:48:07;NGC1569;0.00;Lissajous;0.05;NIKA;391.28;39.60;-2.80;-3.00;-1.50
2014-02-21.113;1;2014-02-21 13:48:10;2014-02-21 13:53:19;NGC1569;0.00;Lissajous;0.01;NIKA;391.30;40.16;-2.80;-3.00;-1.50
2014-02-21.114;1;2014-02-21 13:53:22;2014-02-21 13:57:48;NGC1569;0.00;Lissajous;0.01;NIKA;391.34;40.71;-2.80;-3.00;-1.50
2014-02-21.115;1;2014-02-21 13:53:22;2014-02-21 14:03:44;NGC1569;0.00;Lissajous;0.03;NIKA;391.38;41.16;-2.80;-3.00;-1.50
2014-02-21.116;1;2014-02-21 14:03:48;2014-02-21 14:08:57;NGC1569;0.00;Lissajous;0.01;NIKA;391.36;41.81;-2.80;-3.00;-1.50
2014-02-21.117;1;2014-02-21 14:09:02;2014-02-21 14:14:13;NGC1569;0.00;Lissajous;0.05;NIKA;391.35;42.37;-2.80;-3.00;-1.50
2014-02-21.118;1;2014-02-21 14:14:15;2014-02-21 14:19:26;NGC1569;0.00;Lissajous;0.04;NIKA;391.33;42.92;-2.80;-3.00;-1.50
2014-02-21.119;1;2014-02-21 14:19:29;2014-02-21 14:24:38;NGC1569;0.00;Lissajous;0.03;NIKA;391.28;43.47;-2.80;-3.00;-1.50
2014-02-21.120;1;2014-02-21 14:24:41;2014-02-21 14:29:50;NGC1569;0.00;Lissajous;0.04;NIKA;391.23;44.02;-2.80;-3.00;-1.50
2014-02-21.121;1;2014-02-21 14:29:53;2014-02-21 14:35:03;NGC1569;0.00;Lissajous;0.02;NIKA;391.15;44.57;-2.80;-3.00;-1.50
2014-02-21.122;1;2014-02-21 14:35:07;2014-02-21 14:40:18;NGC1569;0.00;Lissajous;0.01;NIKA;391.08;45.12;-2.80;-3.00;-1.50
2014-02-21.123;1;2014-02-21 14:40:21;2014-02-21 14:45:32;NGC1569;0.00;Lissajous;0.01;NIKA;390.94;45.67;-2.80;-3.00;-1.50
2014-02-21.124;1;2014-02-21 14:45:34;2014-02-21 14:50:44;NGC1569;0.00;Lissajous;0.11;NIKA;390.85;46.21;-2.80;-3.00;-1.50
2014-02-21.125;1;2014-02-21 14:50:47;2014-02-21 14:55:56;NGC1569;0.00;Lissajous;0.11;NIKA;390.67;46.76;-2.80;-3.00;-1.50
2014-02-21.126;1;2014-02-21 14:55:59;2014-02-21 15:01:10;NGC1569;0.00;Lissajous;0.01;NIKA;390.51;47.30;-2.80;-3.00;-1.50
2014-02-21.127;1;2014-02-21 15:01:12;2014-02-21 15:06:23;NGC1569;0.00;Lissajous;0.05;NIKA;390.31;47.84;-2.80;-3.00;-1.50
2014-02-21.128;1;2014-02-21 15:06:25;2014-02-21 15:11:35;NGC1569;0.00;Lissajous;0.06;NIKA;390.10;48.38;-2.80;-3.00;-1.50
2014-02-21.129;1;2014-02-21 15:12:22;2014-02-21 15:19:00;Uranus;0.00;track;0.07;NIKA;389.83;48.98;-2.80;-3.00;-1.50
2014-02-21.130;1;2014-02-21 15:19:26;2014-02-21 15:20:35;Uranus;0.00;Lissajous;0.74;NIKA;194.16;55.55;-2.80;-3.00;-1.50
2014-02-21.131;1;2014-02-21 15:20:37;2014-02-21 15:21:48;Uranus;0.00;Lissajous;0.74;NIKA;194.68;55.48;-2.80;-3.00;-2.10
2014-02-21.132;1;2014-02-21 15:21:54;2014-02-21 15:23:07;Uranus;0.00;Lissajous;0.74;NIKA;195.18;55.43;-2.80;-3.00;-2.70
2014-02-21.133;1;2014-02-21 15:23:20;2014-02-21 15:24:37;Uranus;0.00;Lissajous;0.01;NIKA;195.84;55.34;-2.80;-3.00;-0.90
2014-02-21.134;1;2014-02-21 15:24:40;2014-02-21 15:25:55;Uranus;0.00;Lissajous;0.01;NIKA;196.41;55.26;-2.80;-3.00;-0.30
2014-02-21.135;1;2014-02-21 15:28:12;2014-02-21 15:30:54;0336-019;0.00;track;0.06;NIKA;197.81;55.07;-2.80;-3.00;-1.49
2014-02-26.1;1;2014-02-26 00:04:09;2014-02-26 00:05:25;W3OH;0.00;Lissajous;0.05;NIKA;332.41;21.50;-14.50;3.40;-1.50
2014-02-26.2;1;2014-02-26 00:07:22;2014-02-26 00:09:36;0716+714;0.00;track;0.05;NIKA;332.68;21.21;-14.50;3.40;-1.50
2014-02-26.285;1;2014-02-26 18:23:39;2014-02-26 18:28:49;NGC1569;0.00;Lissajous;0.02;NIKA;358.38;62.11;-10.10;8.20;-2.00
2014-02-26.286;1;2014-02-26 18:28:52;2014-02-26 18:34:02;NGC1569;0.00;Lissajous;0.09;NIKA;357.26;62.10;-10.10;8.20;-2.00
2014-02-26.287;1;2014-02-26 18:34:05;2014-02-26 18:39:14;NGC1569;0.00;Lissajous;0.04;NIKA;356.04;62.04;-10.10;8.20;-2.00
2014-02-26.288;1;2014-02-26 18:39:18;2014-02-26 18:44:27;NGC1569;0.00;Lissajous;0.06;NIKA;354.87;61.97;-10.10;8.20;-2.00
2014-02-26.289;1;2014-02-26 18:44:51;2014-02-26 18:50:00;NGC1569;0.00;Lissajous;0.20;NIKA;353.61;61.87;-10.10;8.20;-2.00
2014-02-26.290;1;2014-02-26 18:50:03;2014-02-26 18:55:15;NGC1569;0.00;Lissajous;0.08;NIKA;352.49;61.76;-10.10;8.20;-2.00
2014-02-26.291;1;2014-02-26 18:55:17;2014-02-26 19:00:27;NGC1569;0.00;Lissajous;0.04;NIKA;351.32;61.62;-10.10;8.20;-2.00
2014-02-26.292;1;2014-02-26 19:00:30;2014-02-26 19:05:40;NGC1569;0.00;Lissajous;0.02;NIKA;350.20;61.47;-10.10;8.20;-2.00
2014-02-26.293;1;2014-02-26 19:05:43;2014-02-26 19:10:54;NGC1569;0.00;Lissajous;0.07;NIKA;349.10;61.29;-10.10;8.20;-2.00
2014-02-26.294;1;2014-02-26 19:10:56;2014-02-26 19:16:08;NGC1569;0.00;Lissajous;0.01;NIKA;348.07;61.10;-10.10;8.20;-2.00
