PROJECT: 226-13

SOURCE: GRB
VEL: 0.00 km/s
RA: 14:45:58
DEC: 14:59:35
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-26.341;1;2014-02-26 22:53:15;2014-02-26 22:53:58;track;0.23;86.34;17.82;-7.50;-1.50;-1.70
2014-02-26.342;1;2014-02-26 22:54:00;2014-02-26 22:59:12;Lissajous;0.23;80.78;13.10;-7.50;-1.50;-1.70
2014-02-26.343;1;2014-02-26 22:59:14;2014-02-26 23:04:24;Lissajous;0.18;81.53;14.12;-7.50;-1.50;-1.70
2014-02-26.344;1;2014-02-26 23:04:26;2014-02-26 23:09:37;Lissajous;0.20;82.27;15.15;-7.50;-1.50;-1.70
2014-02-26.345;1;2014-02-26 23:09:38;2014-02-26 23:14:47;Lissajous;0.20;83.02;16.17;-7.50;-1.50;-1.70
2014-02-26.346;1;2014-02-26 23:14:50;2014-02-26 23:20:00;Lissajous;0.25;83.77;17.20;-7.50;-1.50;-1.70
2014-02-26.347;1;2014-02-26 23:20:01;2014-02-26 23:25:14;Lissajous;0.78;84.53;18.23;-7.50;-1.50;-1.70
2014-02-26.348;1;2014-02-26 23:25:17;2014-02-26 23:30:26;Lissajous;0.26;85.28;19.27;-7.50;-1.50;-1.70
2014-02-26.349;1;2014-02-26 23:30:30;2014-02-26 23:35:40;Lissajous;0.25;86.04;20.31;-7.50;-1.50;-1.70
2014-02-26.350;1;2014-02-26 23:35:42;2014-02-26 23:40:55;Lissajous;0.27;86.81;21.34;-7.50;-1.50;-1.70
2014-02-26.351;1;2014-02-26 23:40:57;2014-02-26 23:46:05;Lissajous;0.25;87.58;22.39;-7.50;-1.50;-1.70
2014-02-26.352;1;2014-02-26 23:46:09;2014-02-26 23:51:19;Lissajous;0.26;88.34;23.42;-7.50;-1.50;-1.70
2014-02-26.353;1;2014-02-26 23:51:21;2014-02-26 23:56:29;Lissajous;0.29;89.13;24.45;-7.50;-1.50;-1.70
2014-02-26.354;1;2014-02-26 23:56:32;2014-02-27 00:01:41;Lissajous;0.29;89.90;25.49;-7.50;-1.50;-1.70
2014-02-27.1;1;2014-02-27 00:01:43;2014-02-27 00:06:46;Lissajous;0.27;90.69;26.52;-7.50;-1.50;-1.70
2014-02-27.10;1;2014-02-27 00:51:52;2014-02-27 00:57:04;Lissajous;0.29;98.80;36.48;-7.50;-1.50;-1.70
2014-02-27.102;1;2014-02-27 05:23:42;2014-02-27 05:25:01;track;0.81;237.25;61.71;-12.70;9.70;-1.60
2014-02-27.103;1;2014-02-27 05:25:08;2014-02-27 05:30:18;Lissajous;0.81;210.96;64.88;-12.70;9.70;-1.60
2014-02-27.104;1;2014-02-27 05:30:21;2014-02-27 05:35:30;Lissajous;0.68;213.60;64.32;-12.70;9.70;-1.60
2014-02-27.105;1;2014-02-27 05:35:33;2014-02-27 05:40:42;Lissajous;0.77;216.13;63.71;-12.70;9.70;-1.60
2014-02-27.106;1;2014-02-27 05:40:46;2014-02-27 05:45:55;Lissajous;0.85;218.56;63.08;-12.70;9.70;-1.60
2014-02-27.107;1;2014-02-27 05:45:59;2014-02-27 05:51:08;Lissajous;0.99;220.90;62.41;-12.70;9.70;-1.60
2014-02-27.108;1;2014-02-27 05:51:11;2014-02-27 05:56:20;Lissajous;1.23;223.13;61.71;-12.70;9.70;-1.60
2014-02-27.109;1;2014-02-27 05:56:23;2014-02-27 06:01:33;Lissajous;1.23;225.28;60.98;-12.70;9.70;-1.60
2014-02-27.11;1;2014-02-27 00:57:06;2014-02-27 01:02:16;Lissajous;0.31;99.72;37.50;-7.50;-1.50;-1.70
2014-02-27.110;1;2014-02-27 06:01:35;2014-02-27 06:06:45;Lissajous;1.29;227.33;60.22;-12.70;9.70;-1.60
2014-02-27.111;1;2014-02-27 06:06:48;2014-02-27 06:11:59;Lissajous;1.91;229.29;59.44;-12.70;9.70;-1.60
2014-02-27.112;1;2014-02-27 06:12:01;2014-02-27 06:17:12;Lissajous;2.52;231.18;58.64;-12.70;9.70;-1.60
2014-02-27.113;1;2014-02-27 06:17:14;2014-02-27 06:22:22;Lissajous;1.03;233.00;57.82;-12.70;9.70;-1.60
2014-02-27.12;1;2014-02-27 01:02:32;2014-02-27 01:07:41;Lissajous;0.32;100.65;38.53;-7.50;-1.50;-1.70
2014-02-27.13;1;2014-02-27 01:07:44;2014-02-27 01:12:53;Lissajous;0.32;101.64;39.59;-7.50;-1.50;-1.70
2014-02-27.14;1;2014-02-27 01:12:56;2014-02-27 01:18:06;Lissajous;0.32;102.61;40.60;-7.50;-1.50;-1.70
2014-02-27.15;1;2014-02-27 01:18:09;2014-02-27 01:23:17;Lissajous;0.33;103.60;41.61;-7.50;-1.50;-1.70
2014-02-27.2;1;2014-02-27 00:09:48;2014-02-27 00:15:16;Lissajous;0.29;91.74;27.89;-7.50;-1.50;-1.70
2014-02-27.3;1;2014-02-27 00:15:19;2014-02-27 00:20:31;Lissajous;0.27;92.79;29.24;-7.50;-1.50;-1.70
2014-02-27.4;1;2014-02-27 00:20:34;2014-02-27 00:25:45;Lissajous;0.29;93.61;30.28;-7.50;-1.50;-1.70
2014-02-27.5;1;2014-02-27 00:25:48;2014-02-27 00:30:58;Lissajous;0.29;94.45;31.32;-7.50;-1.50;-1.70
2014-02-27.6;1;2014-02-27 00:31:01;2014-02-27 00:36:11;Lissajous;0.28;95.29;32.35;-7.50;-1.50;-1.70
2014-02-27.7;1;2014-02-27 00:36:13;2014-02-27 00:41:21;Lissajous;0.28;96.15;33.39;-7.50;-1.50;-1.70
2014-02-27.8;1;2014-02-27 00:41:25;2014-02-27 00:46:36;Lissajous;0.29;97.01;34.41;-7.50;-1.50;-1.70
2014-02-27.9;1;2014-02-27 00:46:39;2014-02-27 00:51:50;Lissajous;0.30;97.89;35.45;-7.50;-1.50;-1.70
2014-02-28.43;1;2014-02-28 01:57:18;2014-02-28 02:00:20;track;0.03;164.56;45.96;-9.70;1.30;-1.70
2014-02-28.44;1;2014-02-28 02:00:23;2014-02-28 02:05:33;Lissajous;0.03;113.66;50.32;-9.70;1.30;-1.70
2014-02-28.45;1;2014-02-28 02:05:35;2014-02-28 02:10:45;Lissajous;0.04;114.98;51.26;-9.70;1.30;-1.70
2014-02-28.46;1;2014-02-28 02:10:46;2014-02-28 02:15:56;Lissajous;0.04;116.33;52.20;-9.70;1.30;-1.70
2014-02-28.47;1;2014-02-28 02:15:57;2014-02-28 02:21:08;Lissajous;0.05;117.74;53.11;-9.70;1.30;-1.70
2014-02-28.48;1;2014-02-28 02:21:11;2014-02-28 02:26:20;Lissajous;0.11;119.21;54.03;-9.70;1.30;-1.70
2014-02-28.49;1;2014-02-28 02:26:22;2014-02-28 02:31:33;Lissajous;0.11;120.71;54.92;-9.70;1.30;-1.70
2014-02-28.50;1;2014-02-28 02:31:35;2014-02-28 02:36:46;Lissajous;0.06;122.30;55.80;-9.70;1.30;-1.70
2014-02-28.51;1;2014-02-28 02:36:48;2014-02-28 02:41:46;Lissajous;0.06;123.94;56.67;-9.70;1.30;-1.70
2014-02-28.52;1;2014-02-28 02:42:06;2014-02-28 02:47:16;Lissajous;0.07;125.68;57.53;-9.70;1.30;-1.70
2014-02-28.53;1;2014-02-28 02:47:18;2014-02-28 02:52:29;Lissajous;0.05;127.47;58.37;-9.70;1.30;-1.70
2014-02-28.54;1;2014-02-28 02:52:31;2014-02-28 02:57:39;Lissajous;0.06;129.32;59.17;-9.70;1.30;-1.70
2014-02-28.55;1;2014-02-28 02:57:43;2014-02-28 03:02:53;Lissajous;0.06;131.26;59.96;-9.70;1.30;-1.70
2014-02-28.56;1;2014-02-28 03:02:55;2014-02-28 03:08:06;Lissajous;0.04;133.29;60.73;-9.70;1.30;-1.70
2014-02-28.57;1;2014-02-28 03:08:07;2014-02-28 03:13:16;Lissajous;0.05;135.38;61.47;-9.70;1.30;-1.70 
