PROJECT: 237-13

SOURCE: CL1227
VEL: 0.00 km/s
RA: 12:26:57
DEC: 33:32:40
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-19.100;19;2014-02-19 06:20:01;2014-02-19 06:23:42;onTheFlyMap;0.17;281.48;46.56;-1.30;2.70;-1.50
2014-02-19.101;1;2014-02-19 06:24:00;2014-02-19 06:24:11;track;0.13;281.84;45.77;-1.30;2.70;-1.50
2014-02-19.102;19;2014-02-19 06:24:00;2014-02-19 06:27:37;onTheFlyMap;0.13;281.88;45.77;-1.30;2.70;-1.50
2014-02-19.103;1;2014-02-19 06:27:54;2014-02-19 06:28:13;track;0.15;282.32;45.03;-1.30;2.70;-1.50
2014-02-19.104;19;2014-02-19 06:27:54;2014-02-19 06:31:49;onTheFlyMap;0.15;282.31;45.02;-1.30;2.70;-1.50
2014-02-19.105;1;2014-02-19 06:32:08;2014-02-19 06:32:27;track;0.15;282.70;44.19;-1.30;2.70;-1.50
2014-02-19.106;19;2014-02-19 06:32:08;2014-02-19 06:35:58;onTheFlyMap;0.12;282.74;44.19;-1.30;2.70;-1.50
2014-02-19.107;1;2014-02-19 06:36:17;2014-02-19 06:36:47;track;0.12;283.14;43.38;-1.30;2.70;-1.50
2014-02-19.108;19;2014-02-19 06:36:17;2014-02-19 06:39:57;onTheFlyMap;0.12;283.20;43.40;-1.30;2.70;-1.50
2014-02-19.109;1;2014-02-19 06:40:15;2014-02-19 06:40:48;track;0.10;283.59;42.67;-1.30;2.70;-1.50
2014-02-19.110;19;2014-02-19 06:40:15;2014-02-19 06:43:56;onTheFlyMap;0.10;283.63;42.64;-1.30;2.70;-1.50
2014-02-19.111;1;2014-02-19 06:44:14;2014-02-19 06:44:37;track;0.08;284.02;41.85;-1.30;2.70;-1.50
2014-02-19.112;19;2014-02-19 06:44:14;2014-02-19 06:47:57;onTheFlyMap;0.08;284.01;41.81;-1.30;2.70;-1.50
2014-02-19.113;1;2014-02-19 06:47:59;2014-02-19 06:48:41;track;0.09;284.41;41.07;-1.30;2.70;-1.50
2014-02-19.116;19;2014-02-19 07:10:25;2014-02-19 07:14:33;onTheFlyMap;0.10;280.62;44.68;0.00;0.00;-1.50
2014-02-19.117;1;2014-02-19 07:14:36;2014-02-19 07:14:50;track;0.08;287.25;35.98;0.00;0.00;-1.50
2014-02-19.118;19;2014-02-19 07:14:52;2014-02-19 07:18:39;onTheFlyMap;0.08;287.26;35.93;0.00;0.00;-1.50
2014-02-19.119;1;2014-02-19 07:18:42;2014-02-19 07:18:56;track;0.07;287.70;35.26;0.00;0.00;-1.50
2014-02-19.120;19;2014-02-19 07:18:58;2014-02-19 07:22:35;onTheFlyMap;0.07;287.72;35.23;0.00;0.00;-1.50
2014-02-19.121;1;2014-02-19 07:22:37;2014-02-19 07:22:49;track;0.53;288.10;34.46;0.00;0.00;-1.50
2014-02-19.122;19;2014-02-19 07:22:53;2014-02-19 07:26:34;onTheFlyMap;0.53;288.14;34.49;0.00;0.00;-1.50
2014-02-19.123;1;2014-02-19 07:26:36;2014-02-19 07:26:38;track;0.08;288.54;33.76;0.00;0.00;-1.50
2014-02-19.124;19;2014-02-19 07:26:57;2014-02-19 07:30:32;onTheFlyMap;0.08;288.52;33.71;0.00;0.00;-1.50
2014-02-19.125;1;2014-02-19 07:30:35;2014-02-19 07:30:49;track;0.07;288.99;32.98;0.00;0.00;-1.50
2014-02-19.126;19;2014-02-19 07:30:52;2014-02-19 07:34:31;onTheFlyMap;0.07;288.97;32.95;0.00;0.00;-1.50
2014-02-19.127;1;2014-02-19 07:34:34;2014-02-19 07:34:44;track;0.09;289.38;32.24;0.00;0.00;-1.50
2014-02-19.128;19;2014-02-19 07:34:49;2014-02-19 07:38:29;onTheFlyMap;0.09;289.40;32.22;0.00;0.00;-1.50
2014-02-19.129;1;2014-02-19 07:38:32;2014-02-19 07:38:45;track;0.00;289.82;31.47;0.00;0.00;-1.50
2014-02-19.130;19;2014-02-19 07:38:48;2014-02-19 07:42:31;onTheFlyMap;0.00;289.83;31.43;0.00;0.00;-1.50
2014-02-19.131;1;2014-02-19 07:42:34;2014-02-19 07:42:46;track;0.25;290.24;30.73;0.00;0.00;-1.50
2014-02-19.132;19;2014-02-19 07:42:50;2014-02-19 07:46:29;onTheFlyMap;0.25;290.29;30.75;0.00;0.00;-1.50
2014-02-19.133;1;2014-02-19 07:46:32;2014-02-19 07:46:45;track;0.10;290.70;29.99;0.00;0.00;-1.50
2014-02-19.134;19;2014-02-19 07:46:49;2014-02-19 07:50:30;onTheFlyMap;0.10;290.70;29.97;0.00;0.00;-1.50
2014-02-19.135;1;2014-02-19 07:50:32;2014-02-19 07:50:45;track;0.10;291.13;29.29;0.00;0.00;-1.50
2014-02-19.136;19;2014-02-19 07:50:48;2014-02-19 07:54:24;onTheFlyMap;0.10;291.14;29.22;0.00;0.00;-1.50
2014-02-19.137;1;2014-02-19 07:54:27;2014-02-19 07:54:40;track;0.11;291.59;28.55;0.00;0.00;-1.50
2014-02-19.138;19;2014-02-19 07:54:42;2014-02-19 07:58:23;onTheFlyMap;0.11;291.57;28.52;0.00;0.00;-1.50
2014-02-19.139;1;2014-02-19 07:58:25;2014-02-19 07:58:39;track;0.11;292.00;27.83;0.00;0.00;-1.50
2014-02-19.140;19;2014-02-19 07:58:41;2014-02-19 08:01:47;onTheFlyMap;0.11;292.03;27.82;0.00;0.00;-1.50
2014-02-19.141;1;2014-02-19 07:58:41;2014-02-19 08:02:02;track;0.05;292.29;27.18;0.00;0.00;-1.50
2014-02-19.142;19;2014-02-19 08:02:36;2014-02-19 08:06:17;onTheFlyMap;0.05;292.44;27.07;0.00;0.00;-1.50
2014-02-19.143;1;2014-02-19 08:06:19;2014-02-19 08:06:34;track;0.09;292.86;26.35;0.00;0.00;-1.50
