PROJECT: 240-13

SOURCE: FLS3A
VEL: 0.00 km/s
RA: 17:06:45
DEC: 58:46:52
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-22.221;10;2014-02-22 11:21:54;2014-02-22 11:23:52;onTheFlyMap;0.18;318.77;44.87;-6.00;2.00;-2.20
2014-02-22.222;13;2014-02-22 11:24:00;2014-02-22 11:26:33;onTheFlyMap;0.18;318.82;44.61;-6.00;2.00;-2.20
2014-02-22.223;10;2014-02-22 11:26:35;2014-02-22 11:28:31;onTheFlyMap;0.14;318.77;44.26;-6.00;2.00;-2.20
2014-02-22.224;13;2014-02-22 11:28:35;2014-02-22 11:31:02;onTheFlyMap;0.14;318.88;44.01;-6.00;2.00;-2.20
2014-02-22.225;10;2014-02-22 11:31:11;2014-02-22 11:33:08;onTheFlyMap;0.21;318.80;43.67;-6.00;2.00;-2.20
2014-02-22.226;13;2014-02-22 11:33:11;2014-02-22 11:35:44;onTheFlyMap;0.13;318.86;43.41;-6.00;2.00;-2.20
2014-02-22.227;10;2014-02-22 11:35:47;2014-02-22 11:37:44;onTheFlyMap;0.13;318.88;43.08;-6.00;2.00;-2.20
2014-02-22.228;13;2014-02-22 11:37:46;2014-02-22 11:40:19;onTheFlyMap;0.00;318.95;42.83;-6.00;2.00;-2.20
2014-02-22.229;10;2014-02-22 11:40:22;2014-02-22 11:42:18;onTheFlyMap;0.00;318.88;42.48;-6.00;2.00;-2.20
2014-02-22.230;13;2014-02-22 11:42:20;2014-02-22 11:44:52;onTheFlyMap;0.08;319.01;42.24;-6.00;2.00;-2.20
2014-02-22.231;10;2014-02-22 11:44:55;2014-02-22 11:46:54;onTheFlyMap;0.08;318.99;41.90;-6.00;2.00;-2.20
2014-02-22.232;13;2014-02-22 11:46:55;2014-02-22 11:49:32;onTheFlyMap;0.08;319.07;41.65;-6.00;2.00;-2.20
2014-02-22.233;10;2014-02-22 11:49:34;2014-02-22 11:51:31;onTheFlyMap;0.10;319.01;41.29;-6.00;2.00;-2.20
2014-02-22.234;13;2014-02-22 11:52:23;2014-02-22 11:54:56;onTheFlyMap;0.08;319.11;40.93;-6.00;2.00;-2.20
2014-02-22.235;10;2014-02-22 11:54:59;2014-02-22 11:56:59;onTheFlyMap;0.18;319.11;40.59;-6.00;2.00;-2.20
2014-02-22.236;13;2014-02-22 11:57:02;2014-02-22 11:59:33;onTheFlyMap;0.18;319.21;40.34;-6.00;2.00;-2.20
2014-02-22.237;10;2014-02-22 11:59:36;2014-02-22 12:01:33;onTheFlyMap;0.18;319.25;40.01;-6.00;2.00;-2.20
2014-02-22.238;13;2014-02-22 12:01:36;2014-02-22 12:04:07;onTheFlyMap;0.10;319.36;39.77;-6.00;2.00;-2.20
2014-02-22.239;10;2014-02-22 12:04:11;2014-02-22 12:06:09;onTheFlyMap;0.15;319.34;39.42;-6.00;2.00;-2.20
2014-02-22.240;13;2014-02-22 12:06:12;2014-02-22 12:08:45;onTheFlyMap;0.15;319.42;39.16;-6.00;2.00;-2.20
