PROJECT: 240-13

SOURCE: NGP-168885
VEL: 0.00 km/s
RA: 13:05:15
DEC: 25:30:57
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-28.109;1;2014-02-28 07:07:18;2014-02-28 07:13:15;Lissajous;0.00;262.72;41.56;-9.30;0.90;-1.70
2014-02-28.110;1;2014-02-28 07:13:17;2014-02-28 07:18:26;Lissajous;0.00;278.06;33.17;-9.30;0.90;-1.70
2014-02-28.111;1;2014-02-28 07:18:29;2014-02-28 07:23:37;Lissajous;0.01;278.74;32.15;-9.30;0.90;-1.70
2014-02-28.112;1;2014-02-28 07:23:41;2014-02-28 07:28:50;Lissajous;0.01;279.41;31.13;-9.30;0.90;-1.70
2014-02-28.113;1;2014-02-28 07:28:53;2014-02-28 07:34:03;Lissajous;0.06;280.08;30.12;-9.30;0.90;-1.70
2014-02-28.114;1;2014-02-28 07:34:05;2014-02-28 07:39:14;Lissajous;0.05;280.76;29.09;-9.30;0.90;-1.70
2014-02-28.115;1;2014-02-28 07:39:17;2014-02-28 07:44:26;Lissajous;0.11;281.43;28.08;-9.30;0.90;-1.70
2014-02-28.116;1;2014-02-28 07:44:29;2014-02-28 07:49:38;Lissajous;0.06;282.10;27.06;-9.30;0.90;-1.70 


SOURCE: NGP-185990
VEL: 0.00 km/s
RA: 12:56:07
DEC: 22:30:46
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-21.19;1;2014-02-21 01:40:48;2014-02-21 01:42:58;track;0.00;95.46;68.80;-5.40;-0.60;-1.50
2014-02-21.20;1;2014-02-21 01:43:01;2014-02-21 01:48:11;Lissajous;0.00;122.88;66.67;-5.40;-0.60;-1.50
2014-02-21.21;1;2014-02-21 01:48:13;2014-02-21 01:50:48;Lissajous;0.00;125.07;67.52;-5.40;-0.60;-1.50
2014-02-21.22;1;2014-02-21 01:51:06;2014-02-21 01:56:24;Lissajous;0.00;126.23;67.96;-5.40;-0.60;-1.50
2014-02-21.23;1;2014-02-21 01:56:26;2014-02-21 02:01:35;Lissajous;0.00;128.79;68.83;-5.40;-0.60;-1.50
2014-02-26.86;1;2014-02-26 04:57:49;2014-02-26 04:59:39;track;0.02;266.84;65.52;-14.10;8.00;-1.70
2014-02-26.87;1;2014-02-26 04:59:43;2014-02-26 05:04:52;Lissajous;0.05;251.86;57.79;-14.10;8.00;-1.70
2014-02-26.88;1;2014-02-26 05:04:55;2014-02-26 05:10:07;Lissajous;0.01;253.12;56.79;-14.10;8.00;-1.70
2014-02-26.89;1;2014-02-26 05:10:09;2014-02-26 05:15:18;Lissajous;0.03;254.34;55.80;-14.10;8.00;-1.70
2014-02-26.90;1;2014-02-26 05:15:22;2014-02-26 05:20:32;Lissajous;0.03;255.51;54.79;-14.10;8.00;-1.70 


SOURCE: NGP-190387
VEL: 0.00 km/s
RA: 13:33:37
DEC: 24:15:41
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-21.24;1;2014-02-21 02:03:47;2014-02-21 02:05:51;track;0.00;132.04;69.82;-5.40;-0.60;-1.50
2014-02-21.25;1;2014-02-21 02:05:54;2014-02-21 02:11:03;Lissajous;0.00;114.27;65.28;-5.40;-0.60;-1.50
2014-02-21.26;1;2014-02-21 02:11:37;2014-02-21 02:16:47;Lissajous;0.00;116.23;66.30;-5.40;-0.60;-1.50
2014-02-21.27;1;2014-02-21 02:16:50;2014-02-21 02:22:00;Lissajous;0.00;118.14;67.23;-5.40;-0.60;-1.50
2014-02-28.130;1;2014-02-28 08:13:01;2014-02-28 08:18:49;Lissajous;0.17;272.98;28.42;-9.30;0.90;-2.00
2014-02-28.131;1;2014-02-28 08:19:06;2014-02-28 08:24:18;Lissajous;0.11;281.73;25.19;-9.30;0.90;-1.90
2014-02-28.132;1;2014-02-28 08:24:20;2014-02-28 08:29:28;Lissajous;0.18;282.41;24.17;-9.30;0.90;-1.90
2014-02-28.133;1;2014-02-28 08:29:32;2014-02-28 08:34:42;Lissajous;0.20;283.08;23.17;-9.30;0.90;-1.90 


SOURCE: NGP-245287
VEL: 0.00 km/s
RA: 13:45:16
DEC: 27:12:35
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-26.113;1;2014-02-26 06:50:13;2014-02-26 06:56:14;Lissajous;0.08;258.13;46.55;-13.80;6.30;-1.90
2014-02-26.114;1;2014-02-26 06:56:15;2014-02-26 07:01:25;Lissajous;0.07;271.19;46.81;-13.80;6.30;-1.90
2014-02-26.115;1;2014-02-26 07:01:26;2014-02-26 07:06:36;Lissajous;0.05;271.95;45.77;-13.80;6.30;-1.90
2014-02-26.116;1;2014-02-26 07:06:38;2014-02-26 07:11:48;Lissajous;0.08;272.67;44.74;-13.80;6.30;-1.90
2014-02-26.117;1;2014-02-26 07:11:50;2014-02-26 07:16:59;Lissajous;0.05;273.40;43.71;-13.80;6.30;-1.90
2014-02-26.118;1;2014-02-26 07:17:01;2014-02-26 07:22:11;Lissajous;0.08;274.11;42.67;-13.80;6.30;-1.90
2014-02-26.119;1;2014-02-26 07:22:14;2014-02-26 07:27:23;Lissajous;0.08;274.80;41.65;-13.80;6.30;-1.90 


SOURCE: NGP-246114
