# Date Fnu_150GHz   Fnu_260GHz
20170220 6.539 15.570
20170221 6.537 15.567
20170222 6.536 15.564
20170223 6.535 15.561
20170224 6.534 15.559
20170225 6.533 15.557
20170226 6.533 15.556
20170417 6.649 15.832
20170418 6.654 15.844
20170419 6.659 15.857
20170420 6.664 15.869
20170421 6.670 15.882
20170422 6.675 15.895
20170423 6.681 15.908
20170424 6.686 15.921
20170425 6.692 15.935
20170426 6.698 15.949
20170607 6.997 16.661
20170608 7.005 16.680
20170609 7.013 16.698
20170610 7.020 16.717
20170611 7.028 16.736
20170612 7.036 16.755
20170613 7.044 16.774
20170614 7.052 16.792
20180112 6.695 15.941
20180113 6.689 15.927
20180114 6.683 15.913
20180115 6.677 15.900
20180116 6.672 15.887
20180117 6.666 15.874
20180118 6.661 15.861
20180119 6.656 15.848
20180120 6.650 15.836
20180121 6.645 15.824
20180212 6.561 15.623
20180213 6.558 15.617
20180214 6.556 15.611
20180215 6.554 15.606
20180216 6.552 15.601
20180217 6.549 15.596
20180218 6.548 15.591
20180219 6.546 15.587
20180220 6.544 15.583
20180221 6.542 15.579
20180302 6.534 15.558
20180303 6.533 15.557
20180304 6.533 15.557
20180305 6.533 15.556
20180306 6.533 15.556
20180307 6.533 15.557
20180308 6.533 15.557
20180309 6.534 15.558
20180310 6.534 15.559
20180311 6.535 15.561
20180312 6.536 15.562
20180313 6.536 15.564
20180314 6.537 15.567
20180315 6.538 15.569
20180316 6.540 15.572
20180317 6.541 15.575
20180318 6.542 15.579
20180319 6.544 15.582
20180320 6.546 15.586
20180321 6.547 15.591
20180521 6.849 16.309
20180522 6.856 16.326
20180523 6.864 16.344
20180524 6.871 16.361
20180525 6.878 16.379
20180526 6.886 16.397
20180527 6.894 16.415
20180528 6.901 16.433
20180529 6.909 16.451
20180530 6.916 16.469
20180611 7.010 16.693
20180612 7.018 16.712
20180613 7.026 16.730
20180614 7.034 16.749
20180615 7.042 16.768
20180616 7.050 16.787
20180617 7.058 16.806
20180618 7.065 16.824
20180619 7.073 16.843
20180620 7.081 16.862
20180904 7.467 17.781
20180905 7.468 17.782
20180906 7.468 17.783
20180907 7.468 17.783
20180917 7.460 17.765
20180918 7.459 17.761
20180919 7.457 17.756
20180920 7.455 17.752
20180921 7.453 17.747
20180922 7.451 17.742
20180923 7.448 17.736
20180924 7.446 17.730
20180925 7.443 17.724
20180926 7.440 17.717
20181001 7.424 17.679
20181002 7.421 17.670
20181003 7.417 17.661
20181004 7.413 17.652
20181005 7.409 17.642
20181006 7.405 17.632
20181007 7.401 17.622
20181008 7.396 17.612
20181009 7.391 17.601
20181010 7.387 17.590
20181029 7.276 17.326
20181030 7.269 17.310
20181031 7.262 17.293
20181101 7.255 17.277
20181102 7.248 17.260
20181103 7.241 17.243
20181104 7.234 17.226
20181105 7.227 17.208
20181106 7.219 17.191
20181107 7.212 17.173
20181119 7.119 16.953
20181120 7.111 16.934
20181121 7.103 16.915
20181122 7.095 16.896
20181123 7.087 16.876
20181124 7.079 16.857
20181125 7.071 16.838
20181126 7.063 16.819
20181127 7.055 16.799
20181128 7.047 16.780
20181204 6.998 16.664
20181205 6.990 16.645
20181206 6.982 16.625
20181207 6.974 16.606
20181208 6.966 16.587
20181209 6.958 16.568
20181210 6.950 16.549
20181211 6.942 16.530
20181212 6.934 16.511
20190114 6.699 15.951
20190115 6.693 15.937
20190116 6.687 15.924
20190117 6.682 15.910
20190118 6.676 15.897
20190119 6.670 15.884
20190120 6.665 15.871
20190121 6.660 15.858
20190122 6.654 15.846
20190123 6.649 15.833
20190129 6.621 15.765
20190130 6.616 15.755
20190131 6.612 15.745
20190201 6.608 15.735
20190202 6.604 15.725
20190203 6.600 15.716
20190204 6.596 15.706
20190205 6.592 15.697
20190206 6.589 15.689
20190211 6.572 15.650
20190212 6.569 15.643
20190213 6.566 15.636
20190214 6.564 15.630
20190215 6.561 15.623
20190216 6.559 15.618
20190217 6.556 15.612
20190218 6.554 15.607
20190219 6.552 15.602
20190220 6.550 15.597
20190304 6.535 15.562
20190305 6.535 15.561
20190306 6.535 15.560
20190307 6.534 15.560
20190308 6.534 15.560
20190309 6.534 15.560
20190310 6.535 15.560
20190311 6.535 15.561
20190312 6.535 15.562
20190313 6.536 15.563
20190314 6.536 15.563
20190315 6.536 15.563
20190316 6.536 15.563
20190317 6.536 15.563
20190318 6.536 15.563
20190319 6.536 15.563
20190320 6.536 15.563
20190321 6.536 15.563
20190322 6.536 15.563
20190323 6.536 15.563
20190324 6.536 15.563
20190325 6.536 15.563
20190326 6.536 15.563
20190516 6.536 15.563
20190517 6.536 15.563
