 !  2.85   2.   7.     -3.32 C  714.68 mbar sky.iram30m.atmJAN07-BC.dat                       
 ! altitude[km], pwv1[mm], pwv2[mm], T[C], p[mbar], filename 
 ! created by lookup.x v2.1 15FEB08 (C.Kramer) 
 ! frequency [GHz], B, C : tau(frq[GHZ]) B(frq[GHz]) * pwv[mm] + C(frq[GHz])    
 ! header information of one of the input files created by ATM:
 ! !*************************************************                              
 ! !******************* SPECTROSCOPY ****************                              
 ! !*************************************************                              
 ! ! ATM 2002                                                                      
 ! ! **O2 and H2O absorption computed from                                         
 ! ! Pardo, Cernicharo & Serabyn                                                   
 ! ! (IEEE Trans. Ant. and Prop., vol 49, n. 12, 2001)                             
 !                                                                                 
 ! ! Ozone is included                                                             
 ! ! Ozone isotopes are included                                                   
 ! ! Vibrationnally excited Ozone is included                                      
 ! ! Vibrationnally excited O2 is included                                         
 ! ! Water isotopes are included                                                   
 ! ! Oxygen isotopes are included                                                  
 ! ! Other minor components are                                                    
 ! ! included (N2O,SO2,CO...)                                                      
 ! ! Tolerance in including minor components lines =     10.000 GHz                
 ! !*************************************************                              
 ! !******* FREQUENCY DOMAIN FOR CALCULATIONS *******                              
 ! !*************************************************                              
 ! ! FREQUENCY (for command COMP) =         225.000 GHz                            
 ! ! FREQUENCY INITIAL (for command SPEC) =          60.000 GHz                    
 ! ! FREQUENCY FINAL (for command SPEC) =         400.000 GHz                      
 ! ! STEP MAX (for command SPEC) =         200.000 MHz                             
 ! ! STEP MIN (for command SPEC) =         200.000 MHz                             
 ! ! RECEIVER IF =      1.500 GHz                                                  
 ! !------------------------------------------------------------------             
 ! !     GROUND based observation                                                  
 ! !     CLEAR ATMOSPHERE                                                          
 ! !------------------------------------------------------------------             
 ! !*************************************************                              
 ! !*** OBS. POSITION AND ATMOSPHERIC INFORMATION ***                              
 ! !*************************************************                              
 ! ! Ground altitude =    2.850 Km                                                 
 ! ! atmosphere upper limit =   48.000 Km                                          
 ! ! water vapor scale height =    2.000 Km                                        
 ! ! TOTAL WATER VAPOR AMOUNT ABOVE TELESCOPE SITE=    2.000 mm                    
 ! ! TOTAL WATER VAPOR AMOUNT ABOVE SEA LEVEL =    8.316 mm                        
 ! ! air mass =   1.00                                                             
 ! ! atmospheric temperature and pressure at telescope altitude                    
 ! ! given by U.S. Stnd 76 AVERAGE atmosphere are =   -3.32 C  714.68 mbar         
 ! ! (corresponding rel. humidity at ground level:   25.96%)                       
 ! !                                                                   OPACITIES (n
 ! !           --------------------------------------------------------------------
 ! !  fr(GHz)     H2O(lin)     p_H2O_cont  p_H2O^2_cont     H2O(isot)     O2(lin)  
 ! ! --------   -----------   -----------  ------------   -----------   -----------
 !EOC (end of comment)
 60. -0.003200000000000358 27.0704 0
 60.2 -0.0034000000000006026 32.8478 0
 60.4 -0.0034000000000006026 41.9568 0
 60.6 -0.003200000000000358 30.0334 0
 60.8 -0.0030000000000001137 25.987000000000002 0
 61. -0.0027999999999998694 27.4086 0
 61.2 -0.0030000000000001137 32.119 0
 61.4 -0.0027999999999998694 24.8776 0
 61.6 -0.0026000000000003355 24.872200000000003 0
 61.8 -0.0023999999999986697 44.16179999999999 0
 62. -0.0021999999999998466 24.0574 0
 62.2 -0.0020000000000003127 24.072000000000003 0
 62.4 -0.0016000000000005344 35.2522 0
 62.6 -0.000999999999999801 23.698999999999998 0
 62.8 -0.00040000000000048883 18.678800000000003 0
 63. 0.00020000000000024442 25.5166 0
 63.2 0.0007999999999999119 13.2714 0
 63.4 0.0012000000000000454 11.4756 0
 63.6 0.0018000000000000683 11.9994 0
 63.8 0.0021999999999998466 8.1472 0
 64. 0.0025600000000000735 7.26248 0
 64.2 0.002880000000000038 6.60774 0
 64.4 0.0031599999999999185 4.948580000000001 0
 64.6 0.0034000000000000696 4.5565999999999995 0
 64.8 0.0036000000000000476 3.6887 0
 65. 0.0038000000000000256 2.9337 0
 65.2 0.003939999999999966 2.89702 0
 65.4 0.004079999999999995 2.0694399999999997 0
 65.6 0.0041999999999999815 1.717 0
 65.8 0.0042999999999999705 1.5713000000000001 0
 66. 0.004359999999999964 1.1901800000000002 0
 66.2 0.0044399999999999995 1.02592 0
 66.4 0.004508000000000001 0.871854 0
 66.6 0.00456399999999999 0.725422 0
 66.8 0.004615999999999998 0.651158 0
 67. 0.004661999999999988 0.547676 0
 67.2 0.0047040000000000085 0.48043199999999997 0
 67.4 0.004742000000000001 0.436676 0
 67.6 0.0047760000000000025 0.38118799999999997 0
 67.8 0.0048039999999999975 0.345312 0
 68. 0.004825999999999997 0.314548 0
 68.2 0.004844000000000004 0.287772 0
 68.4 0.004855999999999994 0.26695800000000003 0
 68.6 0.004869999999999997 0.24700000000000003 0
 68.8 0.0048799999999999955 0.23048000000000002 0
 69. 0.004892000000000002 0.21619599999999997 0
 69.2 0.004905999999999999 0.20314800000000002 0
 69.4 0.0049180000000000005 0.19170399999999999 0
 69.6 0.004931999999999997 0.18144600000000002 0
 69.8 0.004946000000000001 0.172178 0
 70. 0.004961999999999999 0.163716 0
 70.2 0.004980000000000001 0.15594 0
 70.4 0.0049980000000000024 0.148774 0
 70.6 0.005015999999999998 0.14214800000000002 0
 70.8 0.005036000000000001 0.135988 0
 71. 0.005058000000000002 0.13025399999999998 0
 71.2 0.005077999999999999 0.124914 0
 71.4 0.005099999999999999 0.11993 0
 71.6 0.005121999999999999 0.115236 0
