freq,T_b,Flux,T_RJ
Float,Float,Float,Float
GHz,K,Jy,K
Frequency,Brightness temperature,Total flux,Rayleigh-Jeans temperature
2.0,301.614,0.008384,301.566
3.0,256.2748,0.01602,256.2027
4.0,247.9945,0.02755,247.8985
5.0,239.1472,0.04151,239.0272
6.0,229.8826,0.05746,229.7386
7.0,220.5035,0.07501,220.3355
8.0,211.2989,0.09387,211.1068
9.0,202.5058,0.1138,202.2897
10.0,194.2856,0.1348,194.0455
11.0,186.7424,0.1568,186.4784
12.0,179.9178,0.1797,179.6298
13.0,173.8271,0.2037,173.5151
14.0,168.4457,0.2289,168.1097
15.0,163.72,0.2554,163.3602
16.0,159.6089,0.2832,159.225
17.0,156.0374,0.3125,155.6295
18.0,152.9465,0.3433,152.5146
19.0,150.2758,0.3757,149.8201
20.0,147.9811,0.4099,147.5014
21.0,145.9905,0.4457,145.4868
22.0,144.2857,0.4834,143.7581
23.0,142.8169,0.5228,142.2653
24.0,141.5538,0.5641,140.9782
25.0,140.4693,0.6073,139.8698
26.0,139.5357,0.6524,138.9124
27.0,138.732,0.6993,138.0847
28.0,138.045,0.7483,137.3738
29.0,137.458,0.7991,136.7628
30.0,136.9455,0.8517,136.2264
31.0,136.5059,0.9065,135.7628
32.0,136.1203,0.9629,135.3534
33.0,135.7853,1.021,134.9944
34.0,135.4944,1.082,134.6796
35.0,135.2331,1.144,134.3944
36.0,135.0021,1.208,134.1395
37.0,134.7984,1.273,133.912
38.0,134.609,1.341,133.6985
39.0,134.4356,1.41,133.5013
40.0,134.2773,1.482,133.3192
41.0,134.1291,1.555,133.1469
42.0,133.9834,1.629,132.9774
43.0,133.8461,1.706,132.8163
44.0,133.7143,1.785,132.6606
45.0,133.5855,1.864,132.5078
46.0,133.4555,1.946,132.3539
47.0,133.3247,2.029,132.1993
48.0,133.1975,2.114,132.0483
49.0,133.0723,2.2,131.8991
50.0,132.9428,2.288,131.7458
51.0,132.8076,2.377,131.5867
52.0,132.6732,2.469,131.4285
53.0,132.5396,2.562,131.271
54.0,132.4051,2.656,131.1127
55.0,132.2634,2.752,130.9471
56.0,132.1158,2.849,130.7757
57.0,131.9673,2.948,130.6033
58.0,131.8193,3.049,130.4315
59.0,131.6705,3.15,130.2589
60.0,131.5191,3.253,130.0837
61.0,131.354,3.358,129.8948
62.0,131.1862,3.464,129.7031
63.0,131.0189,3.571,129.5119
64.0,130.852,3.68,129.3212
65.0,130.684,3.79,129.1294
66.0,130.5107,3.902,128.9324
67.0,130.3283,4.015,128.7261
68.0,130.1427,4.129,128.5166
69.0,129.956,4.244,128.3062
70.0,129.7691,4.361,128.0956
71.0,129.5829,4.479,127.8855
72.0,129.394,4.598,127.6729
73.0,129.1999,4.718,127.4549
74.0,128.9958,4.841,127.227
75.0,128.7919,4.963,126.9993
76.0,128.5893,5.087,126.773
77.0,128.3867,5.213,126.5466
78.0,128.1837,5.34,126.3198
79.0,127.9801,5.467,126.0925
80.0,127.7657,5.596,125.8543
81.0,127.5475,5.726,125.6124
82.0,127.3241,5.856,125.3652
83.0,127.1033,5.989,125.1207
84.0,126.8837,6.122,124.8773
85.0,126.6639,6.257,124.6339
86.0,126.4442,6.392,124.3904
87.0,126.2245,6.528,124.147
88.0,125.9946,6.666,123.8934
89.0,125.7592,6.804,123.6343
90.0,125.5214,6.943,123.3727
91.0,125.2834,7.082,123.111
92.0,125.046,7.224,122.8499
93.0,124.8099,7.366,122.5901
94.0,124.5767,7.51,122.3331
95.0,124.3432,7.655,122.076
96.0,124.1096,7.8,121.8187
97.0,123.8666,7.946,121.5521
98.0,123.6164,8.092,121.2781
99.0,123.3666,8.239,121.0046
100.0,123.1171,8.387,120.7314
101.0,122.871,8.537,120.4617
102.0,122.6267,8.688,120.1937
103.0,122.383,8.839,119.9264
104.0,122.1396,8.992,119.6593
105.0,121.8946,9.145,119.3907
106.0,121.6485,9.299,119.121
107.0,121.3965,9.453,118.8453
108.0,121.139,9.608,118.5642
109.0,120.8829,9.763,118.2844
110.0,120.6287,9.919,118.0066
111.0,120.3755,10.08,117.7299
112.0,120.1261,10.23,117.4568
113.0,119.8768,10.39,117.1839
114.0,119.6323,10.55,116.9158
115.0,119.3878,10.72,116.6477
116.0,119.1367,10.88,116.373
117.0,118.8834,11.04,116.0961
118.0,118.6273,11.2,115.8164
119.0,118.3678,11.36,115.5333
120.0,118.1086,11.53,115.2505
121.0,117.8526,11.69,114.9709
122.0,117.5966,11.86,114.6914
123.0,117.345,12.03,114.4162
124.0,117.0955,12.19,114.1431
125.0,116.8471,12.36,113.8712
126.0,116.6026,12.53,113.6032
127.0,116.358,12.7,113.3351
128.0,116.1055,12.87,113.0591
129.0,115.8504,13.04,112.7804
130.0,115.5952,13.21,112.5017
131.0,115.3395,13.38,112.2224
132.0,115.0837,13.55,111.9432
133.0,114.8322,13.73,111.6681
134.0,114.5833,13.9,111.3958
135.0,114.3344,14.07,111.1234
136.0,114.0907,14.25,110.8562
137.0,113.8473,14.42,110.5893
138.0,113.6054,14.6,110.3239
139.0,113.368,14.77,110.063
140.0,113.1306,14.95,109.8022
141.0,112.8876,15.13,109.5357
142.0,112.639,15.31,109.2637
143.0,112.3905,15.49,108.9918
144.0,112.1457,15.66,108.7234
145.0,111.9024,15.84,108.4567
146.0,111.6591,16.02,108.1899
147.0,111.4212,16.2,107.9287
148.0,111.1845,16.38,107.6685
149.0,110.9477,16.56,107.4084
150.0,110.7168,16.75,107.1541
151.0,110.4865,16.93,106.9003
152.0,110.2561,17.12,106.6466
153.0,110.0289,17.3,106.396
154.0,109.802,17.49,106.1456
155.0,109.575,17.68,105.8952
156.0,109.3399,17.86,105.6368
157.0,109.1038,18.05,105.3773
158.0,108.8676,18.23,105.1177
159.0,108.6364,18.42,104.8631
160.0,108.4065,18.6,104.6099
161.0,108.1766,18.79,104.3566
162.0,107.9517,18.98,104.1084
163.0,107.7299,19.17,103.8633
164.0,107.5081,19.36,103.6182
165.0,107.2889,19.55,103.3757
166.0,107.0738,19.75,103.1372
167.0,106.8586,19.94,102.8986
168.0,106.6435,20.13,102.6603
169.0,106.4295,20.32,102.423
170.0,106.2155,20.52,102.1856
171.0,106.0015,20.71,101.9483
172.0,105.786,20.9,101.7096
173.0,105.5701,21.1,101.4704
174.0,105.3542,21.3,101.2312
175.0,105.1404,21.49,100.9942
176.0,104.9312,21.69,100.7618
177.0,104.7221,21.88,100.5294
178.0,104.5129,22.07,100.297
179.0,104.3111,22.27,100.072
180.0,104.1109,22.47,99.8485
181.0,103.9107,22.67,99.625
182.0,103.7117,22.87,99.4029
183.0,103.5166,23.08,99.1845
184.0,103.3214,23.28,98.9662
185.0,103.1263,23.48,98.7478
186.0,102.9299,23.68,98.5282
187.0,102.7327,23.88,98.3079
188.0,102.5356,24.08,98.0876
189.0,102.3384,24.28,97.8672
190.0,102.1417,24.49,97.6473
191.0,101.945,24.69,97.4275
192.0,101.7483,24.89,97.2076
193.0,101.5526,25.1,96.9887
194.0,101.3633,25.3,96.7763
195.0,101.174,25.51,96.5638
196.0,100.9847,25.71,96.3514
197.0,100.7976,25.92,96.1412
198.0,100.6162,26.13,95.9366
199.0,100.4348,26.33,95.7321
200.0,100.2534,26.54,95.5276
201.0,100.0743,26.75,95.3254
202.0,99.8997,26.96,95.1277
203.0,99.7251,27.18,94.93
204.0,99.5505,27.39,94.7323
205.0,99.3759,27.6,94.5347
206.0,99.2015,27.81,94.3372
207.0,99.0271,28.02,94.1398
208.0,98.8527,28.24,93.9423
209.0,98.6797,28.45,93.7463
210.0,98.5114,28.66,93.5549
211.0,98.343,28.88,93.3635
212.0,98.1747,29.09,93.1721
213.0,98.0067,29.3,92.9811
214.0,97.8446,29.52,92.796
215.0,97.6825,29.74,92.6109
216.0,97.5205,29.96,92.4258
217.0,97.3584,30.18,92.2407
218.0,97.2017,30.4,92.061
219.0,97.0465,30.62,91.8827
220.0,96.8912,30.84,91.7044
221.0,96.7359,31.06,91.5262
222.0,96.5833,31.28,91.3505
223.0,96.4337,31.5,91.178
224.0,96.2842,31.72,91.0055
225.0,96.1346,31.94,90.833
226.0,95.9851,32.17,90.6605
227.0,95.8364,32.39,90.4889
228.0,95.6877,32.62,90.3173
229.0,95.5391,32.84,90.1457
230.0,95.3904,33.07,89.9741
231.0,95.2448,33.29,89.8056
232.0,95.1022,33.52,89.6401
233.0,94.9596,33.75,89.4746
234.0,94.817,33.97,89.3091
235.0,94.6744,34.2,89.1436
236.0,94.5369,34.43,88.9832
237.0,94.4,34.66,88.8234
238.0,94.2631,34.89,88.6636
239.0,94.1262,35.12,88.5038
240.0,93.9903,35.36,88.3451
241.0,93.8591,35.59,88.191
242.0,93.7278,35.82,88.0369
243.0,93.5965,36.06,87.8827
244.0,93.4652,36.29,87.7286
245.0,93.3353,36.52,87.5759
246.0,93.2074,36.76,87.4252
247.0,93.0796,36.99,87.2745
248.0,92.9517,37.23,87.1238
249.0,92.8238,37.46,86.9731
250.0,92.6959,37.7,86.8224
251.0,92.5679,37.94,86.6716
252.0,92.4399,38.17,86.5208
253.0,92.3119,38.41,86.3701
254.0,92.1839,38.65,86.2193
255.0,92.0586,38.88,86.0711
256.0,91.9356,39.12,85.9254
257.0,91.8126,39.36,85.7797
258.0,91.6897,39.6,85.634
259.0,91.5667,39.84,85.4883
260.0,91.446,40.08,85.3448
261.0,91.3283,40.33,85.2044
262.0,91.2106,40.57,85.064
263.0,91.0929,40.81,84.9235
264.0,90.9752,41.05,84.7831
265.0,90.8585,41.3,84.6437
