PROJECT: 146-13

SOURCE: Tau-Miz8b
VEL: 6.70 km/s
RA: 04:19:51
DEC: 27:11:39
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-19.268;1;2014-02-19 17:51:23;2014-02-19 17:54:15;track;0.17;88.14;75.60;-2.40;-4.90;-1.70
2014-02-19.269;25;2014-02-19 17:55:20;2014-02-19 18:00:37;onTheFlyMap;0.16;135.74;76.83;-2.40;-4.90;-1.70
2014-02-19.270;28;2014-02-19 18:01:13;2014-02-19 18:08:41;onTheFlyMap;0.15;140.54;77.61;-2.40;-4.90;-1.70
2014-02-19.271;28;2014-02-19 18:08:43;2014-02-19 18:15:53;onTheFlyMap;0.17;147.36;78.55;-2.40;-4.90;-1.70
2014-02-19.272;25;2014-02-19 18:15:55;2014-02-19 18:21:13;onTheFlyMap;0.08;155.37;79.21;-2.40;-4.90;-1.70
2014-02-19.294;28;2014-02-19 19:57:32;2014-02-19 20:04:47;onTheFlyMap;0.12;245.74;70.03;1.90;0.40;-2.00
2014-02-19.295;28;2014-02-19 20:05:00;2014-02-19 20:12:08;onTheFlyMap;0.07;248.37;68.66;1.90;0.40;-2.00
2014-02-19.296;25;2014-02-19 20:12:11;2014-02-19 20:17:08;onTheFlyMap;0.22;250.82;67.26;1.90;0.40;-2.00
2014-02-19.297;28;2014-02-19 20:17:10;2014-02-19 20:24:22;onTheFlyMap;0.12;252.03;66.36;1.90;0.40;-2.00
2014-02-19.298;28;2014-02-19 20:24:25;2014-02-19 20:31:32;onTheFlyMap;0.08;254.27;64.97;1.90;0.40;-2.00
2014-02-19.299;25;2014-02-19 20:31:34;2014-02-19 20:36:28;onTheFlyMap;0.12;256.03;63.59;1.90;0.40;-2.00
2014-02-19.300;28;2014-02-19 20:36:29;2014-02-19 20:43:37;onTheFlyMap;0.09;256.99;62.62;1.90;0.40;-2.00
2014-02-19.301;28;2014-02-19 20:43:39;2014-02-19 20:50:42;onTheFlyMap;0.10;258.93;61.26;1.90;0.40;-2.00
2014-02-19.302;25;2014-02-19 20:50:45;2014-02-19 20:55:38;onTheFlyMap;0.11;260.34;59.82;1.90;0.40;-2.00
2014-02-19.303;28;2014-02-19 20:55:41;2014-02-19 21:03:04;onTheFlyMap;0.14;261.13;58.86;1.90;0.40;-2.00
2014-02-19.304;28;2014-02-19 21:03:06;2014-02-19 21:10:09;onTheFlyMap;0.11;262.74;57.41;1.90;0.40;-2.00
2014-02-19.308;1;2014-02-19 21:17:09;2014-02-19 21:21:06;track;0.12;284.09;57.34;3.10;-6.00;-2.00
2014-02-19.309;1;2014-02-19 21:21:25;2014-02-19 21:21:40;track;0.12;265.91;53.82;3.10;-6.00;-2.00
2014-02-19.310;25;2014-02-19 21:21:25;2014-02-19 21:26:15;onTheFlyMap;0.12;265.95;53.77;3.10;-6.00;-2.00
2014-02-19.311;28;2014-02-19 21:26:18;2014-02-19 21:33:23;onTheFlyMap;0.01;266.64;52.79;3.10;-6.00;-2.00
2014-02-19.312;28;2014-02-19 21:33:26;2014-02-19 21:40:25;onTheFlyMap;0.11;267.98;51.38;3.10;-6.00;-2.00
2014-02-19.313;25;2014-02-19 21:46:32;2014-02-19 21:50:02;onTheFlyMap;0.08;269.05;49.91;3.10;-6.00;-2.00
2014-02-19.314;28;2014-02-19 21:50:30;2014-02-19 21:51:12;onTheFlyMap;0.10;269.05;49.91;3.10;-6.00;-2.00
2014-02-19.315;1;2014-02-19 22:01:22;2014-02-19 22:02:05;track;0.07;269.05;49.91;3.10;-6.00;-2.00
2014-02-19.316;25;2014-02-19 22:02:07;2014-02-19 22:06:59;onTheFlyMap;0.07;272.17;45.66;3.10;-6.00;-2.00
2014-02-20.309;1;2014-02-20 19:52:05;2014-02-20 19:54:19;track;0.00;279.18;73.67;-4.20;-1.30;-1.70
2014-02-20.310;25;2014-02-20 19:54:21;2014-02-20 19:59:13;onTheFlyMap;0.00;246.03;69.89;-3.70;-1.10;-1.70
2014-02-20.311;25;2014-02-20 19:59:16;2014-02-20 20:04:09;onTheFlyMap;0.00;247.82;68.92;-3.70;-1.10;-1.70
2014-02-20.312;16;2014-02-20 20:04:11;2014-02-20 20:07:54;onTheFlyMap;0.00;249.45;68.00;-3.70;-1.10;-1.70
2014-02-20.318;1;2014-02-20 20:38:32;2014-02-20 20:40:02;track;0.00;291.43;53.96;-3.70;-1.10;-1.70
2014-02-20.319;25;2014-02-20 20:38:32;2014-02-20 20:45:31;onTheFlyMap;0.00;258.84;61.17;-3.70;-1.10;-1.70
2014-02-20.320;16;2014-02-20 20:45:34;2014-02-20 20:49:11;onTheFlyMap;0.00;259.98;60.02;-3.70;-1.10;-1.70
2014-02-20.321;25;2014-02-20 20:49:21;2014-02-20 20:54:10;onTheFlyMap;0.00;260.81;59.43;-3.70;-1.10;-1.70
2014-02-20.322;25;2014-02-20 20:54:13;2014-02-20 20:59:01;onTheFlyMap;0.00;261.72;58.32;-3.70;-1.10;-1.70
2014-02-20.323;16;2014-02-20 20:59:03;2014-02-20 21:02:47;onTheFlyMap;0.00;262.75;57.37;-3.70;-1.10;-1.70
2014-02-20.324;25;2014-02-20 21:02:50;2014-02-20 21:07:41;onTheFlyMap;0.00;263.33;56.74;-3.70;-1.10;-1.70
2014-02-20.328;1;2014-02-20 21:14:42;2014-02-20 21:16:26;track;0.00;284.00;57.57;-4.00;-1.50;-1.70
2014-02-20.329;25;2014-02-20 21:16:52;2014-02-20 21:21:37;onTheFlyMap;0.00;265.84;53.90;-4.00;-1.50;-1.70
2014-02-20.330;16;2014-02-20 21:21:40;2014-02-20 21:25:20;onTheFlyMap;0.00;266.69;52.91;-4.00;-1.50;-1.70
2014-02-20.331;25;2014-02-20 21:26:02;2014-02-20 21:30:47;onTheFlyMap;0.00;267.35;52.07;-4.00;-1.50;-1.70
2014-02-20.332;28;2014-02-20 21:30:50;2014-02-20 21:37:56;onTheFlyMap;0.01;268.12;51.11;-4.00;-1.50;-1.70
2014-02-20.333;28;2014-02-20 21:37:58;2014-02-20 21:44:56;onTheFlyMap;0.01;269.18;49.77;-4.00;-1.50;-1.70
2014-02-20.334;25;2014-02-20 21:44:59;2014-02-20 21:49:52;onTheFlyMap;0.00;270.20;48.29;-4.00;-1.50;-1.70
2014-02-20.335;16;2014-02-20 21:49:54;2014-02-20 21:53:40;onTheFlyMap;0.95;271.06;47.27;-4.00;-1.50;-1.70
2014-02-20.336;25;2014-02-20 21:53:52;2014-02-20 21:58:43;onTheFlyMap;0.95;271.50;46.56;-4.00;-1.50;-1.70
2014-02-20.337;28;2014-02-20 21:58:47;2014-02-20 22:05:59;onTheFlyMap;0.00;272.32;45.50;-4.00;-1.50;-1.70
2014-02-20.338;28;2014-02-20 22:06:01;2014-02-20 22:12:58;onTheFlyMap;0.00;273.26;44.11;-4.00;-1.50;-1.70
2014-02-20.339;28;2014-02-20 22:13:01;2014-02-20 22:18:24;onTheFlyMap;0.00;274.15;42.71;-4.00;-1.50;-1.70
2014-02-20.340;19;2014-02-20 22:18:28;2014-02-20 22:23:13;onTheFlyMap;0.00;275.04;41.66;-4.00;-1.50;-1.70
2014-02-20.345;1;2014-02-20 22:34:41;2014-02-20 22:36:24;track;0.00;290.32;42.38;-1.80;-0.10;-1.70
2014-02-20.346;28;2014-02-20 22:36:26;2014-02-20 22:41:56;onTheFlyMap;0.00;277.31;38.07;-1.80;-0.10;-1.70
2014-02-20.347;19;2014-02-20 22:42:01;2014-02-20 22:46:49;onTheFlyMap;0.00;278.09;37.00;-1.80;-0.10;-1.70
2014-02-20.348;28;2014-02-20 22:46:52;2014-02-20 22:53:14;onTheFlyMap;0.00;278.69;36.03;-1.80;-0.10;-1.70
2014-02-20.349;28;2014-02-20 22:53:17;2014-02-20 23:00:26;onTheFlyMap;0.00;279.54;34.80;-1.80;-0.10;-1.70
2014-02-21.165;28;2014-02-21 17:32:36;2014-02-21 17:39:46;onTheFlyMap;0.06;137.01;66.01;-2.00;-3.00;-1.95
2014-02-21.166;28;2014-02-21 17:39:48;2014-02-21 17:47:07;onTheFlyMap;0.02;130.01;75.64;-2.00;-3.00;-1.95
2014-02-21.167;28;2014-02-21 17:47:11;2014-02-21 17:54:13;onTheFlyMap;0.01;135.37;76.85;-2.00;-3.00;-1.95
2014-02-21.168;28;2014-02-21 17:54:32;2014-02-21 18:01:15;onTheFlyMap;0.00;141.49;77.75;-2.00;-3.00;-1.95
2014-02-21.169;28;2014-02-21 18:01:19;2014-02-21 18:08:52;onTheFlyMap;0.01;147.58;78.48;-2.00;-3.00;-1.95
2014-02-21.170;28;2014-02-21 18:08:53;2014-02-21 18:15:54;onTheFlyMap;0.00;155.92;79.30;-2.00;-3.00;-1.95
2014-02-21.174;28;2014-02-21 18:30:31;2014-02-21 18:39:01;onTheFlyMap;0.02;171.63;70.95;-1.30;2.10;-1.95
2014-02-21.188;28;2014-02-21 19:14:30;2014-02-21 19:21:49;onTheFlyMap;0.03;204.12;69.60;-3.30;1.00;-2.10
2014-02-21.189;28;2014-02-21 19:21:52;2014-02-21 19:29:18;onTheFlyMap;0.04;232.34;74.87;-3.30;1.00;-2.10
2014-02-21.190;28;2014-02-21 19:29:20;2014-02-21 19:36:35;onTheFlyMap;0.00;237.01;73.64;-3.30;1.00;-2.10
2014-02-21.191;28;2014-02-21 19:36:37;2014-02-21 19:43:02;onTheFlyMap;0.08;240.50;72.34;-3.30;1.00;-2.10
2014-02-21.192;28;2014-02-21 19:43:06;2014-02-21 19:50:23;onTheFlyMap;0.06;242.99;71.24;-3.30;1.00;-2.10
2014-02-21.193;28;2014-02-21 19:50:26;2014-02-21 19:57:38;onTheFlyMap;0.03;246.17;69.89;-3.30;1.00;-2.10
2014-02-21.194;28;2014-02-21 19:57:41;2014-02-21 20:04:06;onTheFlyMap;0.05;248.70;68.52;-3.30;1.00;-2.10
2014-02-21.195;28;2014-02-21 20:04:07;2014-02-21 20:11:20;onTheFlyMap;0.06;250.46;67.41;-3.30;1.00;-2.10
