PROJECT: 193-13

SOURCE: NGC1569
VEL: 0.00 km/s
RA: 04:30:50
DEC: 64:50:54
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-21.111;1;2014-02-21 13:36:57;2014-02-21 13:42:56;Lissajous;0.03;392.63;52.89;-2.80;-3.00;-1.50
2014-02-21.112;1;2014-02-21 13:42:57;2014-02-21 13:48:07;Lissajous;0.05;391.28;39.60;-2.80;-3.00;-1.50
2014-02-21.113;1;2014-02-21 13:48:10;2014-02-21 13:53:19;Lissajous;0.01;391.30;40.16;-2.80;-3.00;-1.50
2014-02-21.114;1;2014-02-21 13:53:22;2014-02-21 13:57:48;Lissajous;0.01;391.34;40.71;-2.80;-3.00;-1.50
2014-02-21.115;1;2014-02-21 13:53:22;2014-02-21 14:03:44;Lissajous;0.03;391.38;41.16;-2.80;-3.00;-1.50
2014-02-21.116;1;2014-02-21 14:03:48;2014-02-21 14:08:57;Lissajous;0.01;391.36;41.81;-2.80;-3.00;-1.50
2014-02-21.117;1;2014-02-21 14:09:02;2014-02-21 14:14:13;Lissajous;0.05;391.35;42.37;-2.80;-3.00;-1.50
2014-02-21.118;1;2014-02-21 14:14:15;2014-02-21 14:19:26;Lissajous;0.04;391.33;42.92;-2.80;-3.00;-1.50
2014-02-21.119;1;2014-02-21 14:19:29;2014-02-21 14:24:38;Lissajous;0.03;391.28;43.47;-2.80;-3.00;-1.50
2014-02-21.120;1;2014-02-21 14:24:41;2014-02-21 14:29:50;Lissajous;0.04;391.23;44.02;-2.80;-3.00;-1.50
2014-02-21.121;1;2014-02-21 14:29:53;2014-02-21 14:35:03;Lissajous;0.02;391.15;44.57;-2.80;-3.00;-1.50
2014-02-21.122;1;2014-02-21 14:35:07;2014-02-21 14:40:18;Lissajous;0.01;391.08;45.12;-2.80;-3.00;-1.50
2014-02-21.123;1;2014-02-21 14:40:21;2014-02-21 14:45:32;Lissajous;0.01;390.94;45.67;-2.80;-3.00;-1.50
2014-02-21.124;1;2014-02-21 14:45:34;2014-02-21 14:50:44;Lissajous;0.11;390.85;46.21;-2.80;-3.00;-1.50
2014-02-21.125;1;2014-02-21 14:50:47;2014-02-21 14:55:56;Lissajous;0.11;390.67;46.76;-2.80;-3.00;-1.50
2014-02-21.126;1;2014-02-21 14:55:59;2014-02-21 15:01:10;Lissajous;0.01;390.51;47.30;-2.80;-3.00;-1.50
2014-02-21.127;1;2014-02-21 15:01:12;2014-02-21 15:06:23;Lissajous;0.05;390.31;47.84;-2.80;-3.00;-1.50
2014-02-21.128;1;2014-02-21 15:06:25;2014-02-21 15:11:35;Lissajous;0.06;390.10;48.38;-2.80;-3.00;-1.50
2014-02-26.285;1;2014-02-26 18:23:39;2014-02-26 18:28:49;Lissajous;0.02;358.38;62.11;-10.10;8.20;-2.00
2014-02-26.286;1;2014-02-26 18:28:52;2014-02-26 18:34:02;Lissajous;0.09;357.26;62.10;-10.10;8.20;-2.00
2014-02-26.287;1;2014-02-26 18:34:05;2014-02-26 18:39:14;Lissajous;0.04;356.04;62.04;-10.10;8.20;-2.00
2014-02-26.288;1;2014-02-26 18:39:18;2014-02-26 18:44:27;Lissajous;0.06;354.87;61.97;-10.10;8.20;-2.00
2014-02-26.289;1;2014-02-26 18:44:51;2014-02-26 18:50:00;Lissajous;0.20;353.61;61.87;-10.10;8.20;-2.00
2014-02-26.290;1;2014-02-26 18:50:03;2014-02-26 18:55:15;Lissajous;0.08;352.49;61.76;-10.10;8.20;-2.00
2014-02-26.291;1;2014-02-26 18:55:17;2014-02-26 19:00:27;Lissajous;0.04;351.32;61.62;-10.10;8.20;-2.00
2014-02-26.292;1;2014-02-26 19:00:30;2014-02-26 19:05:40;Lissajous;0.02;350.20;61.47;-10.10;8.20;-2.00
2014-02-26.293;1;2014-02-26 19:05:43;2014-02-26 19:10:54;Lissajous;0.07;349.10;61.29;-10.10;8.20;-2.00
2014-02-26.294;1;2014-02-26 19:10:56;2014-02-26 19:16:08;Lissajous;0.01;348.07;61.10;-10.10;8.20;-2.00
2014-02-26.295;1;2014-02-26 19:16:10;2014-02-26 19:21:20;Lissajous;0.09;347.01;60.89;-10.10;8.20;-2.00
2014-02-26.296;1;2014-02-26 19:21:22;2014-02-26 19:26:47;Lissajous;0.04;345.93;60.66;-10.10;8.20;-2.00
2014-02-26.297;1;2014-02-26 19:26:49;2014-02-26 19:31:58;Lissajous;0.08;344.88;60.40;-10.10;8.20;-2.00
2014-02-26.298;1;2014-02-26 19:32:02;2014-02-26 19:37:14;Lissajous;0.13;343.95;60.13;-10.10;8.20;-2.00
2014-02-26.299;1;2014-02-26 19:37:15;2014-02-26 19:42:26;Lissajous;0.10;343.00;59.84;-10.10;8.20;-2.00
2014-02-26.300;1;2014-02-26 19:42:28;2014-02-26 19:47:39;Lissajous;0.30;342.03;59.54;-10.10;8.20;-2.00
2014-02-26.301;1;2014-02-26 19:47:42;2014-02-26 19:52:52;Lissajous;0.05;341.13;59.23;-10.10;8.20;-2.00
2014-02-26.302;1;2014-02-26 19:52:56;2014-02-26 19:58:07;Lissajous;0.01;340.30;58.89;-10.10;8.20;-2.00
2014-02-26.313;1;2014-02-26 20:39:02;2014-02-26 20:44:12;Lissajous;0.08;333.97;55.39;-11.60;3.90;-1.70
