PROJECT: 234-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-19.47;1;2014-02-19 03:55:32;2014-02-19 03:57:18;1226+023;0.00;Lissajous;0.19;NIKA;207.70;51.53;0.50;-0.50;-1.50
2014-02-19.48;1;2014-02-19 03:59:54;2014-02-19 04:05:34;HRS188;0.00;Lissajous;0.18;NIKA;209.11;51.16;-0.90;0.70;-1.50
2014-02-19.49;1;2014-02-19 04:05:36;2014-02-19 04:10:45;HRS188;0.00;Lissajous;0.19;NIKA;212.91;55.70;-0.90;0.70;-1.50
2014-02-19.50;1;2014-02-19 04:10:48;2014-02-19 04:15:58;HRS188;0.00;Lissajous;0.21;NIKA;214.94;55.11;-0.90;0.70;-1.50
2014-02-19.51;1;2014-02-19 04:16:00;2014-02-19 04:21:10;HRS188;0.00;Lissajous;0.18;NIKA;216.91;54.50;-0.90;0.70;-1.50
2014-02-19.52;1;2014-02-19 04:21:12;2014-02-19 04:26:20;HRS188;0.00;Lissajous;0.20;NIKA;218.82;53.86;-0.90;0.70;-1.50
2014-02-19.53;1;2014-02-19 04:26:24;2014-02-19 04:31:33;HRS188;0.00;Lissajous;0.16;NIKA;220.67;53.19;-0.90;0.70;-1.50
2014-02-19.54;1;2014-02-19 04:33:07;2014-02-19 04:34:36;1308+326;0.00;track;0.18;NIKA;223.00;52.28;-0.90;0.70;-1.50
2014-02-24.34;1;2014-02-24 23:22:30;2014-02-24 23:30:52;1226+023;0.00;Lissajous;0.07;NIKA;120.22;36.62;-8.30;-0.80;-1.50
2014-02-24.35;1;2014-02-24 23:31:16;2014-02-24 23:32:24;1226+023;0.00;Lissajous;0.07;NIKA;120.70;36.98;-8.30;-0.80;-1.50
2014-02-24.36;1;2014-02-24 23:35:24;2014-02-24 23:36:51;1226+023;0.00;Lissajous;0.18;NIKA;121.43;37.53;-6.20;2.40;-1.50
2014-02-24.37;1;2014-02-24 23:36:54;2014-02-24 23:38:24;1226+023;0.00;Lissajous;0.19;NIKA;122.00;37.93;-6.20;2.40;-2.10
2014-02-24.38;1;2014-02-24 23:38:27;2014-02-24 23:39:40;1226+023;0.00;Lissajous;0.19;NIKA;122.37;38.20;-6.20;2.40;-2.70
2014-02-24.39;1;2014-02-24 23:39:42;2014-02-24 23:41:01;1226+023;0.00;Lissajous;0.19;NIKA;122.67;38.41;-6.20;2.40;-0.90
2014-02-24.40;1;2014-02-24 23:41:04;2014-02-24 23:42:18;1226+023;0.00;Lissajous;0.19;NIKA;122.99;38.64;-6.20;2.40;-0.30
2014-02-24.41;1;2014-02-24 23:44:58;2014-02-24 23:46:23;1226+023;0.00;Lissajous;0.18;NIKA;123.78;39.19;-6.20;2.40;-1.58
2014-02-24.42;1;2014-02-24 23:48:05;2014-02-24 23:53:43;HRS188;0.00;Lissajous;0.18;NIKA;124.69;39.80;-4.80;2.60;-1.58
2014-02-24.43;1;2014-02-24 23:53:45;2014-02-24 23:58:53;HRS188;0.00;Lissajous;0.15;NIKA;120.12;43.55;-4.80;2.60;-1.58
2014-02-24.44;1;2014-02-24 23:53:45;2014-02-25 00:01:42;HRS188;0.00;Lissajous;0.11;NIKA;121.42;44.42;-4.80;2.60;-1.58
2014-02-25.1;1;2014-02-24 23:53:45;2014-02-25 00:09:32;HRS188;0.00;Lissajous;0.16;NIKA;122.14;44.90;-4.80;2.60;-1.58
2014-02-25.2;1;2014-02-25 00:09:34;2014-02-25 00:14:44;HRS188;0.00;Lissajous;0.15;NIKA;124.20;46.21;-4.80;2.60;-1.58
2014-02-25.3;1;2014-02-25 00:14:57;2014-02-25 00:20:07;HRS188;0.00;Lissajous;0.19;NIKA;125.64;47.08;-4.80;2.60;-1.58
2014-02-25.4;1;2014-02-25 00:20:25;2014-02-25 00:21:11;HRS188;0.00;track;0.15;NIKA;127.19;47.96;-4.80;2.60;-1.58
2014-02-25.5;1;2014-02-25 00:22:36;2014-02-25 00:28:35;0642+449;0.00;track;0.17;NIKA;127.81;48.30;-4.80;2.60;-1.58 
