PROJECT: 237-13

SOURCE: MACS0717
VEL: 0.00 km/s
RA: 07:17:32
DEC: 37:44:46
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-21.233;1;2014-02-21 23:07:34;2014-02-21 23:08:34;track;0.11;297.21;63.75;-3.00;1.00;-2.00
2014-02-21.234;19;2014-02-21 23:09:18;2014-02-21 23:13:07;onTheFlyMap;0.11;279.19;69.31;-3.00;1.00;-2.00
2014-02-21.235;19;2014-02-21 23:13:10;2014-02-21 23:16:50;onTheFlyMap;0.12;279.47;68.48;-3.00;1.00;-2.00
2014-02-21.236;19;2014-02-21 23:16:53;2014-02-21 23:20:42;onTheFlyMap;0.12;279.69;67.75;-3.00;1.00;-2.00
2014-02-21.237;19;2014-02-21 23:20:43;2014-02-21 23:24:25;onTheFlyMap;0.10;280.06;67.02;-3.00;1.00;-2.00
2014-02-21.238;19;2014-02-21 23:24:26;2014-02-21 23:28:14;onTheFlyMap;0.11;280.23;66.32;-3.00;1.00;-2.00
2014-02-21.239;19;2014-02-21 23:28:16;2014-02-21 23:31:56;onTheFlyMap;0.11;280.55;65.54;-3.00;1.00;-2.00
2014-02-21.240;19;2014-02-21 23:31:59;2014-02-21 23:35:46;onTheFlyMap;0.13;280.70;64.81;-3.00;1.00;-2.00
2014-02-21.241;19;2014-02-21 23:35:48;2014-02-21 23:39:28;onTheFlyMap;0.13;280.98;64.05;-3.00;1.00;-2.00
2014-02-21.242;19;2014-02-21 23:39:31;2014-02-21 23:43:15;onTheFlyMap;0.12;281.23;63.36;-3.00;1.00;-2.00
2014-02-21.243;19;2014-02-21 23:43:17;2014-02-21 23:46:55;onTheFlyMap;0.13;281.57;62.62;-3.00;1.00;-2.00
2014-02-21.244;19;2014-02-21 23:46:59;2014-02-21 23:50:42;onTheFlyMap;0.11;281.75;61.90;-3.00;1.00;-2.00
2014-02-21.245;19;2014-02-21 23:50:45;2014-02-21 23:54:21;onTheFlyMap;0.12;282.05;61.13;-3.00;1.00;-2.00
2014-02-21.246;19;2014-02-21 23:54:35;2014-02-21 23:58:16;onTheFlyMap;0.09;282.31;60.43;-3.00;1.00;-2.00
2014-02-21.247;19;2014-02-21 23:58:19;2014-02-22 00:01:58;onTheFlyMap;0.13;282.63;59.69;-3.00;1.00;-2.00
2014-02-22.11;19;2014-02-22 00:21:55;2014-02-22 00:27:27;onTheFlyMap;0.14;339.75;49.25;-2.50;2.10;-1.70
2014-02-22.12;19;2014-02-22 00:27:29;2014-02-22 00:31:08;onTheFlyMap;0.13;284.75;54.03;-2.50;2.10;-1.70
2014-02-22.13;19;2014-02-22 00:31:12;2014-02-22 00:34:48;onTheFlyMap;0.01;285.04;53.32;-2.50;2.10;-1.70
2014-02-22.14;19;2014-02-22 00:34:50;2014-02-22 00:38:32;onTheFlyMap;0.01;285.41;52.65;-2.50;2.10;-1.70
2014-02-22.15;19;2014-02-22 00:38:34;2014-02-22 00:42:10;onTheFlyMap;0.15;285.66;51.95;-2.50;2.10;-1.70
2014-02-22.16;19;2014-02-22 00:42:13;2014-02-22 00:45:52;onTheFlyMap;0.12;285.99;51.22;-2.50;2.10;-1.70
2014-02-22.17;19;2014-02-22 00:45:55;2014-02-22 00:49:34;onTheFlyMap;0.13;286.23;50.53;-2.50;2.10;-1.70
2014-02-22.18;19;2014-02-22 00:49:36;2014-02-22 00:53:15;onTheFlyMap;0.17;286.52;49.79;-2.50;2.10;-1.70
2014-02-22.19;19;2014-02-22 00:53:19;2014-02-22 00:56:56;onTheFlyMap;0.14;286.83;49.12;-2.50;2.10;-1.70
2014-02-22.20;19;2014-02-22 00:56:58;2014-02-22 01:00:37;onTheFlyMap;0.16;287.14;48.39;-2.50;2.10;-1.70
2014-02-22.21;19;2014-02-22 01:00:39;2014-02-22 01:04:19;onTheFlyMap;0.16;287.44;47.73;-2.50;2.10;-1.70
2014-02-22.22;19;2014-02-22 01:04:23;2014-02-22 01:08:01;onTheFlyMap;0.22;287.73;46.99;-2.50;2.10;-1.70
2014-02-22.23;19;2014-02-22 01:08:05;2014-02-22 01:11:46;onTheFlyMap;0.19;288.08;46.34;-2.50;2.10;-1.70
2014-02-22.24;19;2014-02-22 01:11:47;2014-02-22 01:15:28;onTheFlyMap;0.20;288.42;45.61;-2.50;2.10;-1.70
2014-02-22.29;19;2014-02-22 01:24:40;2014-02-22 01:29:03;onTheFlyMap;0.20;300.76;39.89;-1.80;3.20;-1.70
2014-02-22.3;19;2014-02-22 00:05:25;2014-02-22 00:06:24;onTheFlyMap;0.11;297.09;53.52;-2.50;2.10;-2.00
2014-02-22.30;19;2014-02-22 01:29:07;2014-02-22 01:32:46;onTheFlyMap;0.20;289.90;42.35;-1.80;3.20;-1.70
2014-02-22.31;19;2014-02-22 01:32:48;2014-02-22 01:36:31;onTheFlyMap;0.19;290.20;41.70;-1.80;3.20;-1.70
2014-02-22.32;19;2014-02-22 01:36:34;2014-02-22 01:40:13;onTheFlyMap;0.23;290.55;40.96;-1.80;3.20;-1.70
2014-02-22.33;19;2014-02-22 01:40:16;2014-02-22 01:43:53;onTheFlyMap;0.19;290.84;40.29;-1.80;3.20;-1.70
2014-02-22.34;19;2014-02-22 01:43:56;2014-02-22 01:47:37;onTheFlyMap;0.22;291.18;39.58;-1.80;3.20;-1.70
2014-02-22.35;19;2014-02-22 01:47:40;2014-02-22 01:51:24;onTheFlyMap;0.25;291.50;38.90;-1.80;3.20;-1.70
2014-02-22.355;19;2014-02-22 17:23:31;2014-02-22 17:27:46;onTheFlyMap;0.00;61.69;50.71;-1.80;6.10;-2.50
2014-02-22.356;19;2014-02-22 17:27:49;2014-02-22 17:31:29;onTheFlyMap;0.00;70.37;44.29;-1.80;6.10;-2.50
2014-02-22.357;19;2014-02-22 17:31:32;2014-02-22 17:35:11;onTheFlyMap;0.01;70.67;45.03;-1.80;6.10;-2.50
2014-02-22.358;19;2014-02-22 17:35:14;2014-02-22 17:38:56;onTheFlyMap;0.02;71.01;45.69;-1.80;6.10;-2.50
2014-02-22.359;19;2014-02-22 17:38:59;2014-02-22 17:42:39;onTheFlyMap;0.04;71.27;46.40;-1.80;6.10;-2.50
2014-02-22.36;19;2014-02-22 01:51:26;2014-02-22 01:55:08;onTheFlyMap;0.31;291.84;38.19;-1.80;3.20;-1.70
2014-02-22.360;19;2014-02-22 17:42:41;2014-02-22 17:46:21;onTheFlyMap;0.05;71.65;47.11;-1.80;6.10;-2.50
2014-02-22.361;19;2014-02-22 17:46:23;2014-02-22 17:50:02;onTheFlyMap;0.13;71.89;47.79;-1.80;6.10;-2.50
2014-02-22.362;19;2014-02-22 17:50:06;2014-02-22 17:53:45;onTheFlyMap;0.13;72.26;48.51;-1.80;6.10;-2.50
2014-02-22.363;19;2014-02-22 17:53:48;2014-02-22 17:57:25;onTheFlyMap;0.27;72.50;49.20;-1.80;6.10;-2.50
2014-02-22.364;19;2014-02-22 17:57:28;2014-02-22 18:01:07;onTheFlyMap;0.00;72.83;49.90;-1.80;6.10;-2.50
2014-02-22.365;19;2014-02-22 18:01:10;2014-02-22 18:04:47;onTheFlyMap;0.27;73.11;50.63;-1.80;6.10;-2.50
2014-02-22.366;19;2014-02-22 18:04:51;2014-02-22 18:08:33;onTheFlyMap;0.01;73.44;51.31;-1.80;6.10;-2.50
2014-02-22.367;19;2014-02-22 18:08:36;2014-02-22 18:12:17;onTheFlyMap;0.00;73.69;52.03;-1.80;6.10;-2.50
2014-02-22.368;19;2014-02-22 18:12:19;2014-02-22 18:15:58;onTheFlyMap;0.03;74.06;52.76;-1.80;6.10;-2.50
2014-02-22.37;19;2014-02-22 01:55:17;2014-02-22 01:57:08;onTheFlyMap;0.31;292.19;37.49;-1.80;3.20;-1.70
2014-02-22.378;1;2014-02-22 18:37:07;2014-02-22 18:38:57;track;0.05;92.91;46.34;-2.30;4.30;-2.66
2014-02-22.379;19;2014-02-22 18:39:00;2014-02-22 18:42:39;onTheFlyMap;0.09;76.03;57.87;-2.30;4.30;-2.66
2014-02-22.380;19;2014-02-22 18:42:42;2014-02-22 18:46:21;onTheFlyMap;0.06;76.40;58.60;-2.30;4.30;-2.66
2014-02-22.381;19;2014-02-22 18:46:24;2014-02-22 18:50:03;onTheFlyMap;0.05;76.58;59.31;-2.30;4.30;-2.66
2014-02-22.382;19;2014-02-22 18:50:06;2014-02-22 18:53:39;onTheFlyMap;0.05;76.88;60.03;-2.30;4.30;-2.66
2014-02-22.383;19;2014-02-22 18:53:48;2014-02-22 18:57:32;onTheFlyMap;0.06;77.13;60.76;-2.30;4.30;-2.66
2014-02-22.384;19;2014-02-22 18:57:35;2014-02-22 19:01:16;onTheFlyMap;0.01;77.42;61.48;-2.30;4.30;-2.66
2014-02-22.385;19;2014-02-22 19:01:17;2014-02-22 19:04:56;onTheFlyMap;0.06;77.71;62.25;-2.30;4.30;-2.66
2014-02-22.386;19;2014-02-22 19:05:00;2014-02-22 19:08:43;onTheFlyMap;0.04;77.99;62.93;-2.30;4.30;-2.66
2014-02-22.387;19;2014-02-22 19:08:46;2014-02-22 19:12:33;onTheFlyMap;0.06;78.19;63.67;-2.30;4.30;-2.66
2014-02-22.388;19;2014-02-22 19:12:37;2014-02-22 19:16:15;onTheFlyMap;0.06;78.55;64.43;-2.30;4.30;-2.66
2014-02-22.389;19;2014-02-22 19:16:18;2014-02-22 19:18:33;onTheFlyMap;0.06;78.69;65.14;-2.30;4.30;-2.66
2014-02-22.441;19;2014-02-22 23:09:24;2014-02-22 23:14:02;onTheFlyMap;0.01;297.01;62.73;-1.60;-0.10;-2.10
2014-02-22.442;19;2014-02-22 23:14:03;2014-02-22 23:17:47;onTheFlyMap;0.08;279.88;67.56;-1.60;-0.10;-2.10
2014-02-22.443;19;2014-02-22 23:17:48;2014-02-22 23:21:35;onTheFlyMap;0.10;280.06;66.85;-1.60;-0.10;-2.10
2014-02-22.444;19;2014-02-22 23:21:38;2014-02-22 23:25:15;onTheFlyMap;0.08;280.32;66.05;-1.60;-0.10;-2.10
2014-02-22.445;19;2014-02-22 23:25:18;2014-02-22 23:29:07;onTheFlyMap;0.07;280.50;65.34;-1.60;-0.10;-2.10
2014-02-22.446;19;2014-02-22 23:29:08;2014-02-22 23:32:49;onTheFlyMap;0.09;280.85;64.59;-1.60;-0.10;-2.10
2014-02-22.447;19;2014-02-22 23:32:51;2014-02-22 23:36:37;onTheFlyMap;0.09;281.01;63.86;-1.60;-0.10;-2.10
2014-02-22.448;19;2014-02-22 23:36:39;2014-02-22 23:40:19;onTheFlyMap;0.06;281.38;63.14;-1.60;-0.10;-2.10
2014-02-22.449;19;2014-02-22 23:40:22;2014-02-22 23:44:06;onTheFlyMap;0.09;281.55;62.42;-1.60;-0.10;-2.10
2014-02-22.450;19;2014-02-22 23:44:09;2014-02-22 23:47:51;onTheFlyMap;0.08;281.88;61.65;-1.60;-0.10;-2.10
2014-02-22.451;19;2014-02-22 23:47:53;2014-02-22 23:51:40;onTheFlyMap;0.07;282.07;60.92;-1.60;-0.10;-2.10
2014-02-22.452;19;2014-02-22 23:51:41;2014-02-22 23:55:21;onTheFlyMap;0.06;282.45;60.21;-1.60;-0.10;-2.10
2014-02-22.453;19;2014-02-22 23:55:23;2014-02-22 23:59:00;onTheFlyMap;0.06;282.62;59.47;-1.60;-0.10;-2.10
2014-02-22.454;19;2014-02-22 23:59:04;2014-02-23 00:02:47;onTheFlyMap;0.01;282.94;58.76;-1.60;-0.10;-2.10
2014-02-23.10;19;2014-02-23 00:32:38;2014-02-23 00:36:15;onTheFlyMap;0.08;285.47;52.28;-1.90;1.80;-2.10
2014-02-23.11;19;2014-02-23 00:36:18;2014-02-23 00:40:01;onTheFlyMap;0.04;285.82;51.59;-1.90;1.80;-2.10
2014-02-23.12;19;2014-02-23 00:40:03;2014-02-23 00:43:41;onTheFlyMap;0.03;286.09;50.92;-1.90;1.80;-2.10
2014-02-23.13;19;2014-02-23 00:43:43;2014-02-23 00:47:27;onTheFlyMap;0.12;286.37;50.17;-1.90;1.80;-2.10
2014-02-23.14;19;2014-02-23 00:47:30;2014-02-23 00:51:07;onTheFlyMap;0.06;286.66;49.45;-1.90;1.80;-2.10
2014-02-23.15;19;2014-02-23 00:51:09;2014-02-23 00:54:47;onTheFlyMap;0.08;287.03;48.77;-1.90;1.80;-2.10
2014-02-23.16;19;2014-02-23 00:54:50;2014-02-23 00:58:31;onTheFlyMap;0.08;287.28;48.08;-1.90;1.80;-2.10
2014-02-23.17;19;2014-02-23 00:58:34;2014-02-23 01:02:14;onTheFlyMap;0.07;287.62;47.35;-1.90;1.80;-2.10
2014-02-23.18;19;2014-02-23 01:02:16;2014-02-23 01:05:53;onTheFlyMap;0.09;287.92;46.70;-1.90;1.80;-2.10
2014-02-23.19;19;2014-02-23 01:05:57;2014-02-23 01:09:38;onTheFlyMap;0.16;288.23;45.95;-1.90;1.80;-2.10
2014-02-23.20;19;2014-02-23 01:09:40;2014-02-23 01:13:19;onTheFlyMap;0.09;288.53;45.29;-1.90;1.80;-2.10
2014-02-23.21;19;2014-02-23 01:13:22;2014-02-23 01:17:24;onTheFlyMap;0.08;288.83;44.55;-1.90;1.80;-2.10
2014-02-23.312;19;2014-02-23 16:29:00;2014-02-23 16:30:13;onTheFlyMap;0.07;418.49;41.75;-1.30;-4.30;-1.70
2014-02-23.313;19;2014-02-23 16:31:24;2014-02-23 16:44:23;onTheFlyMap;0.07;357.29;34.55;-1.70;-1.50;-1.70
2014-02-23.314;19;2014-02-23 16:44:25;2014-02-23 16:48:03;onTheFlyMap;0.13;66.87;36.97;-1.70;-1.50;-1.70
2014-02-23.315;19;2014-02-23 16:48:07;2014-02-23 16:51:52;onTheFlyMap;0.11;67.16;37.64;-1.70;-1.50;-1.70
2014-02-23.316;19;2014-02-23 16:51:54;2014-02-23 16:55:37;onTheFlyMap;0.04;67.54;38.34;-1.70;-1.50;-1.70
2014-02-23.336;19;2014-02-23 17:29:12;2014-02-23 17:33:26;onTheFlyMap;0.15;62.00;52.41;-2.80;-0.90;-1.40
2014-02-23.337;19;2014-02-23 17:33:28;2014-02-23 17:37:18;onTheFlyMap;0.13;71.20;46.11;-2.80;-0.90;-1.40
2014-02-23.345;19;2014-02-23 17:49:16;2014-02-23 17:53:34;onTheFlyMap;0.10;62.45;55.95;-0.70;0.30;-1.70
2014-02-23.346;19;2014-02-23 17:53:37;2014-02-23 17:56:48;onTheFlyMap;0.22;72.87;49.93;-0.70;0.30;-1.70
2014-02-23.347;19;2014-02-23 17:57:19;2014-02-23 17:58:03;onTheFlyMap;0.04;73.07;50.56;-0.70;0.30;-1.70
2014-02-23.4;19;2014-02-23 00:09:26;2014-02-23 00:14:03;onTheFlyMap;0.05;297.31;52.12;-1.90;1.80;-2.10
2014-02-23.5;19;2014-02-23 00:14:06;2014-02-23 00:17:47;onTheFlyMap;0.02;284.07;55.85;-1.90;1.80;-2.10
2014-02-23.6;19;2014-02-23 00:17:49;2014-02-23 00:21:33;onTheFlyMap;0.02;284.31;55.14;-1.90;1.80;-2.10
2014-02-23.7;19;2014-02-23 00:21:35;2014-02-23 00:25:14;onTheFlyMap;0.08;284.61;54.41;-1.90;1.80;-2.10
2014-02-23.8;19;2014-02-23 00:25:17;2014-02-23 00:28:53;onTheFlyMap;0.08;284.92;53.74;-1.90;1.80;-2.10
2014-02-23.9;19;2014-02-23 00:28:55;2014-02-23 00:32:35;onTheFlyMap;0.14;285.21;53.00;-1.90;1.80;-2.10
2014-02-25.10;19;2014-02-25 00:36:54;2014-02-25 00:40:39;onTheFlyMap;0.18;286.48;49.97;-4.70;1.10;-1.58
2014-02-25.11;19;2014-02-25 00:40:45;2014-02-25 00:44:26;onTheFlyMap;0.14;286.75;49.24;-4.70;1.10;-1.58
2014-02-25.12;19;2014-02-25 00:44:29;2014-02-25 00:48:10;onTheFlyMap;0.14;287.09;48.53;-4.70;1.10;-1.58
2014-02-25.13;19;2014-02-25 00:48:12;2014-02-25 00:51:46;onTheFlyMap;0.18;287.40;47.87;-4.70;1.10;-1.58
2014-02-25.14;19;2014-02-25 00:51:58;2014-02-25 00:55:39;onTheFlyMap;0.17;287.68;47.11;-4.70;1.10;-1.58
