SCAN,FILE,SITELONG_DEG,SITELAT_DEG,SITEALT_M,OPERATOR,OBSID,PROJID,DAY,SCANNUM,OBJECT,RA_DEG,DEC_DEG,AZ_DEG,EL_DEG,PARANGLE_DEG,MJD,DATE,LST_SEC,EXPTIME,N_OBS,N_OBSP,OBSTYPE,SYSOFF,NASX_ARCSEC,NASY_ARCSEC,XOFFSET_ARCSEC,YOFFSET_ARCSEC,SWITCHMODE,FOCUSX_MM,FOCUSY_MM,FOCUSZ_MM,PRESSURE_HPA,TAMBIENT_C,REL_HUMIDITY_PERCENT,WINDVEL_MPERS,TIPTAU225GHZ,TAU1MM,TAU2MM,POWLAWAMP1MM,POWLAWAMP2MM,POWLAWEXPO1MM,POWLAWEXPO2MM,SKYNOI1MM0,SKYNOI1MM1,SKYNOI1MM2,SKYNOI1MM3,SKYNOI1MM4,SKYNOI1MM5,SKYNOI1MM6,SKYNOI1MM7,SKYNOI2MM0,SKYNOI2MM1,SKYNOI2MM2,SKYNOI2MM3,SKYNOI2MM4,SKYNOI2MM5,SKYNOI2MM6,SKYNOI2MM7,NEFD_TOI1MM,NEFD_MAP1MM,NEFD_TOI2MM,NEFD_MAP2MM,FLUX_1MM,ERR_FLUX_1MM,OFFSET_X_1MM,OFFSET_Y_1MM,FLUX_2MM,ERR_FLUX_2MM,OFFSET_X_2MM,OFFSET_Y_2MM,PIPELINEVERSION,DECORMETHOD,
20140220s0156,iram30m-antenna-20140220s156-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,118-13  ,20140220,     156,1908-202,       287.79022,      -20.115275,       176.41249,       32.740537,       33.936507,       56708.383,2014-02-20T09:11:53.625,       68353.197,      98.0000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.30000,     -1.60000,totalPower,      0.00000,      0.00000,     -1.80000,      724.200,    -0.400000,      10.2000,      3.70000,     0.240030,     0.300725,       0,      1.09540,     0.320261,     -1.13031,     -1.13414,      0.00000,      0.00000,      12.5278,      7.49249,      6.52511,      1.33422,     0.771592,     0.486061,      0.00000,      0.00000,      3.75600,      2.19851,      1.88591,     0.399867,     0.228345,     0.143795,      56.0985,      87.3556,      15.7227,      94.4460,      550.438,      10.2031,      0.00000,      0.00000,      803.942,      6.12586,      0.00000,      0.00000,V1cLiss0,COMMON_MODE_KIDS_OUT,
20140219s0193,iram30m-antenna-20140219s193-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,118-13  ,20140219,     193,Uranus,       9.6521548,       3.4420482,       119.13288,       37.606300,       71.042049,       56707.499,2014-02-19T11:59:07.375,       78177.871,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     0.800000,     -6.30000,totalPower,      0.00000,      0.00000,     -1.20000,      720.000,     -4.80000,      38.0000,      2.20000,     0.161550,     0.169345,       0,     0.242062,    0.0673788,     -1.09619,     -1.09309,      0.00000,      1.89775,      4.68203,      3.42161,     0.881875,     0.248388,     0.130328,    0.0748798,      0.00000,     0.509438,      1.29670,     0.944271,     0.245940,    0.0700425,    0.0338981,    0.0208105,      41.0364,      4844.75,      20.0501,      3183.49,      7111.45,      22.1131,      0.00000,      0.00000,      3868.12,      9.98911,      0.00000,      0.00000,V1cLiss2,COMMON_MODE_KIDS_OUT,
20140223s0260,iram30m-antenna-20140223s260-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,151-13  ,20140223,     260,0552+398,       88.878087,       39.813646,       56.944548,       23.631522,       42.604245,       56711.585,2014-02-23T14:02:19.500,       136.44147,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.90000,     -5.50000,totalPower,      0.00000,      0.00000,     -2.30000,      719.100,      1.40000,      19.0000,      9.40000,    0.0644320,     0.108438,       0,     0.275740,    0.0805516,    -0.962651,    -0.962131,      0.00000,      0.00000,      0.00000,      1.20028,      1.18508,     0.356183,     0.202660,     0.131147,      0.00000,      0.00000,      0.00000,     0.348401,     0.347697,     0.102649,    0.0593315,    0.0382542,      533.943,      1158.17,      197.506,      467.036,      1279.99,      271.121,      0.00000,      0.00000,      1002.15,      64.3160,      0.00000,      0.00000,V1cLiss4,COMMON_MODE_KIDS_OUT,
20140219s0233,iram30m-antenna-20140219s233-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,173-13  ,20140219,     233,0336-019,       54.878890,      -1.7765986,       119.75799,       30.893486,       65.709613,       56707.613,2014-02-19T14:43:19.500,       1656.9700,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     0.600000,     -6.40000,totalPower,      0.00000,      0.00000,     -1.20000,      719.700,     -4.70000,      28.1000,      1.60000,     0.212348,     0.190787,       0,     0.447661,     0.133041,     -1.32768,     -1.32431,      0.00000,      0.00000,      18.1886,      4.80705,      1.82452,     0.849296,     0.441490,     0.283967,      0.00000,      0.00000,      5.40979,      1.40173,     0.529869,     0.250392,     0.131324,    0.0831151,      436.131,      953.826,      223.475,      724.943,      1121.54,      7.94553,      0.00000,      0.00000,      1982.07,      27.1133,      0.00000,      0.00000,V1cLiss0,COMMON_MODE_KIDS_OUT,
20140219s0250,iram30m-antenna-20140219s250-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,173-13  ,20140219,     250,0420-014,       65.815816,      -1.3425344,       136.62254,       42.312460,       84.362950,       56707.693,2014-02-19T16:37:22.000,       8518.2042,      79.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.00000,     -4.40000,totalPower,      0.00000,      0.00000,     -1.20000,      719.700,     -4.70000,      28.1000,      1.60000,     0.138259,     0.173515,       0,     0.341834,    0.0910252,    -0.978266,    -0.981875,      0.00000,      0.00000,      1.22108,      2.46377,      1.20387,     0.460694,     0.240053,     0.154167,      0.00000,      0.00000,     0.329493,     0.669485,     0.332140,     0.118463,    0.0636570,    0.0405031,      69.9929,      123.131,      163.789,      515.285,      305.779,      5.34430,      0.00000,      0.00000,      74.2028,      3.33718,      0.00000,      0.00000,V1cLiss1,COMMON_MODE_KIDS_OUT,
20140225s0232,iram30m-antenna-20140225s232-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,174-13  ,20140225,     232,0605-085,       91.998717,      -8.5805522,      -141.05124,       35.853097,      -76.165818,       56713.919,2014-02-25T22:03:38.000,       29567.124,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -13.3000,      3.10000,totalPower,      0.00000,      0.00000,     -1.50000,      723.800,     -5.60000,      44.8000,      3.30000,     0.243495,     0.185954,       0,     0.440741,     0.129024,     -1.09683,     -1.09521,      0.00000,      0.00000,      0.00000,      3.76332,      1.31088,     0.668301,     0.383178,     0.237450,      0.00000,      0.00000,      0.00000,      1.08370,     0.385377,     0.199257,     0.111197,    0.0693185,      21.2094,      88.0209,      8.64386,      185.538,      1271.69,      20.6848,      0.00000,      0.00000,      1977.78,      26.0285,      0.00000,      0.00000,V1cLiss0,COMMON_MODE_KIDS_OUT,
20140225s0105,iram30m-antenna-20140225s105-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,230-13  ,20140225,     105,K3-50A,       300.44041,       33.545422,       89.079615,       65.382835,       71.783233,       56713.330,2014-02-25T07:55:37.875,       64947.694,      68.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.80000,     -2.90000,totalPower,      0.00000,      0.00000,     -1.76000,      720.500,     -6.60000,      58.0000,      3.80000,     0.454395,     0.457101,       0,     0.212617,    0.0618903,     -1.05577,     -1.04810,      0.00000,      0.00000,      0.00000,     0.875630,     0.821062,     0.321041,     0.178846,     0.117071,      0.00000,      0.00000,      0.00000,     0.243391,     0.232263,    0.0953059,    0.0529539,    0.0339844,      42.4225,      513.640,      20.3996,      564.185,      5667.21,      40.3432,      0.00000,      0.00000,      4747.39,      27.9403,      0.00000,      0.00000,V1cLiss5,COMMON_MODE_KIDS_OUT,
20140220s0353,iram30m-antenna-20140220s353-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,232-13  ,20140220,     353,0316+413,       49.950642,       41.511711,      -55.902660,       25.470002,      -41.887432,       56708.972,2014-02-20T23:19:22.625,       32941.417,      68.0000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,    -0.300000,     -1.20000,totalPower,      0.00000,      0.00000,     -1.70000,      723.000,     -1.60000,      85.0000,      2.80000,   0.00214500,     0.483390,       0,     0.149955,    0.0462350,     -1.26191,     -1.26805,      0.00000,      0.00000,      0.00000,      1.70166,     0.759973,     0.233858,     0.139126,    0.0945989,      0.00000,      0.00000,      0.00000,     0.540314,     0.242427,    0.0703193,    0.0391490,    0.0248005,      106.031,      577.946,      26.9447,      1448.14,      3411.66,      17.9276,      0.00000,      0.00000,      6708.10,      28.0244,      0.00000,      0.00000,V1cLiss0,COMMON_MODE_KIDS_OUT,
20140225s0234,iram30m-antenna-20140225s234-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,232-13  ,20140225,     234,0953+254,       149.20782,       25.254417,       113.44098,       66.424161,       93.902161,       56713.926,2014-02-25T22:12:57.000,       30127.655,      67.0000,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -12.7000,     0.500000,totalPower,      0.00000,      0.00000,     -1.50000,      723.800,     -5.60000,      44.5000,      3.80000,     0.147820,     0.197297,       0,     0.122991,    0.0268352,     -1.48205,     -1.53015,      0.00000,      0.00000,      0.00000,      3.42097,      1.07270,     0.166364,    0.0534472,    0.0436816,      0.00000,      0.00000,      0.00000,     0.945343,     0.223478,    0.0380284,   0.00798431,   0.00801143,      19.8112,      42.4206,      7.27661,      71.8420,      400.173,      10.1997,      0.00000,      0.00000,      698.329,      10.0940,      0.00000,      0.00000,V1cLiss1,COMMON_MODE_KIDS_OUT,
20140221s0072,iram30m-antenna-20140221s72-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,232-13  ,20140221,      72,1413+135,       213.99504,       13.339889,      -125.55128,       55.114903,      -93.247186,       56709.264,2014-02-21T06:20:06.126,       58254.028,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,    -0.900000,      1.00000,totalPower,      0.00000,      0.00000,     -1.80000,      721.100,     -3.70000,      100.000,      2.60000,     0.805492,     0.839556,       0,      2.25149,      2.05983,     -1.44693,     -1.19860,      0.00000,      0.00000,      0.00000,      79.7175,      15.1801,      3.20930,     0.723692,     0.421685,      0.00000,      0.00000,      30.4140,      42.4223,      8.77128,      2.23364,      1.04991,     0.664246,      521.305,      3652.60,      139.573,      765.932,      203.801,      66.9831,      0.00000,      0.00000,      725.654,      19.1701,      0.00000,      0.00000,V1cLiss6,COMMON_MODE_KIDS_OUT,
