!!PROJECT: t21
!!
!!SOURCE: Uranus
!!VEL: 0.00 km/s
!!RA: None
!!DEC: None
!!J2000 
!!
!!RX: NIKA
!!
!!Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2013-06-18.80;1;2013-06-18 07:39:17;2013-06-18 07:39:35;track;0.43;135.07;81.76;-9.00;5.00;-1.60
2013-06-18.81;56;2013-06-18 07:44:51;2013-06-18 07:55:08;onTheFlyMap;0.44;192.80;56.40;-9.00;5.00;-1.60
2013-11-14.226;1;2013-11-14 22:12:12;2013-11-14 22:13:39;Lissajous;0.02;205.54;53.04;0.00;0.00;-1.00
2013-11-14.227;1;2013-11-14 22:13:42;2013-11-14 22:15:09;Lissajous;0.00;206.12;52.92;0.00;0.00;-1.60
2013-11-14.228;1;2013-11-14 22:15:13;2013-11-14 22:16:37;Lissajous;0.00;206.71;52.79;0.00;0.00;-2.20
2013-11-14.229;1;2013-11-14 22:16:41;2013-11-14 22:18:12;Lissajous;0.00;207.28;52.65;0.00;0.00;-0.40
2013-11-14.230;1;2013-11-14 22:18:13;2013-11-14 22:19:40;Lissajous;0.00;207.87;52.52;0.00;0.00;0.19
2014-01-20.199;1;2014-01-20 18:06:48;2014-01-20 18:08:27;Lissajous;0.02;212.30;51.36;0.00;0.00;-2.40
2014-01-20.200;1;2014-01-20 18:08:29;2014-01-20 18:09:50;Lissajous;0.10;212.90;51.17;0.00;0.00;-2.40
2014-01-20.201;1;2014-01-20 18:09:52;2014-01-20 18:11:16;Lissajous;0.10;213.42;51.04;0.00;0.00;-3.00
2014-01-20.202;1;2014-01-20 18:11:19;2014-01-20 18:12:44;Lissajous;0.10;213.92;50.86;0.00;0.00;-3.60
2014-01-20.203;1;2014-01-20 18:12:46;2014-01-20 18:14:17;Lissajous;0.03;214.43;50.70;0.00;0.00;-1.80
2014-01-20.204;1;2014-01-20 18:14:18;2014-01-20 18:15:43;Lissajous;0.03;214.98;50.53;0.00;0.00;-1.20
2014-01-21.198;1;2014-01-21 17:54:21;2014-01-21 17:56:06;Lissajous;0.48;209.13;52.26;32.40;-36.00;-2.40
2014-01-21.199;1;2014-01-21 17:57:17;2014-01-21 17:59:03;Lissajous;0.48;210.21;51.97;32.40;-36.00;-2.40
2014-01-21.200;1;2014-01-21 17:59:30;2014-01-21 18:01:10;Lissajous;0.42;211.04;51.74;32.40;-36.00;-2.40
2014-01-21.201;1;2014-01-21 18:01:37;2014-01-21 18:03:18;Lissajous;0.50;211.83;51.51;0.00;0.00;-2.40
2014-01-21.202;1;2014-01-21 18:03:29;2014-01-21 18:05:08;Lissajous;0.50;212.50;51.31;0.00;0.00;-2.40
2014-01-21.204;1;2014-01-21 18:10:32;2014-01-21 18:12:28;Lissajous;0.79;214.65;50.64;0.00;0.00;-2.40
2014-01-21.205;1;2014-01-21 18:12:42;2014-01-21 18:14:23;Lissajous;0.63;215.72;50.28;0.00;0.00;-2.40
2014-01-21.206;1;2014-01-21 18:16:00;2014-01-21 18:17:45;Lissajous;0.63;216.85;49.89;0.00;0.00;-2.40
2014-01-21.207;1;2014-01-21 18:18:15;2014-01-21 18:19:56;Lissajous;0.62;217.60;49.62;0.00;0.00;-2.40
2014-01-21.208;1;2014-01-21 18:20:15;2014-01-21 18:21:54;Lissajous;0.73;218.29;49.36;0.00;0.00;-2.40
2014-01-21.209;1;2014-01-21 18:22:21;2014-01-21 18:24:00;Lissajous;0.73;218.99;49.11;0.00;0.00;-2.40
