# Date Fnu_150GHz   Fnu_260GHz
20180302 119.064 360.825
20180303 120.546 365.535
20180304 122.006 370.151
20180305 123.511 374.852
20180306 125.098 379.715
20180307 126.806 384.850
20180308 128.662 390.344
20180309 130.666 396.219
20180310 132.784 402.394
20180311 134.920 408.634
20180312 137.190 415.339
20180313 139.438 422.056
20180314 141.609 428.654
20180315 143.684 435.095
20180316 145.626 441.251
20180317 147.450 447.160
20180318 149.215 452.964
20180319 150.968 458.758
20180320 152.720 464.559
20180321 154.492 470.395
