# NIKA2 run informations
RunID	StartDate	EndDate
run22	2017-02-20	2017-02-26
run23	2017-04-17	2017-04-26
run24	2017-06-07	2017-06-14
run27	2018-01-12	2018-01-21
run28	2018-02-12	2018-02-21
run29	2018-03-02	2018-03-21
run30	2018-05-21	2018-05-30
run31	2018-06-11	2018-06-20
run32	2018-09-04	2018-09-07
run33	2018-09-17	2018-09-26
run34	2018-10-01	2018-10-10
run35 	2018-10-29	2018-11-07
run36	2018-11-19	2018-11-28
run37	2018-12-04	2018-12-12
run38 	2019-01-14	2019-01-23
run39	2019-01-29	2019-02-06
run40	2019-02-11	2019-02-20
run41	2019-03-04	2019-03-13


