#  source     band        MJD           I        dI         Q       dQ        U       dU       pL    dpL     chi     dchi
#                                      Jy        Jy        [%]      [%]      [%]      [%]      [%]   [%]     [º]     [º]
# ------------------------------------------------------------------------------------------------------------------
3c273,      1.3mm,     58459.4842,     4.492,    0.159,    1.577,   1.294,  -4.774,  1.220,    4.9,  1.2,   144.1,   7.3	
3c279,      1.3mm,     58459.4646,     8.639,    0.306,    4.157,   1.203,   7.545,  1.275,    8.5,  1.3,    30.6,   4.1
1641+399,   1.3mm,     58459.5583,     2.195,    0.078,    4.102,   1.230,   3.684,  1.300,    5.4,  1.3,  -159.0,   6.6
1749+096,   1.3mm,     58459.5150,     2.265,    0.073,   -1.832,   1.216,  -1.076,  1.110,    1.8,  1.2,   -74.8,  15.3
2200+420,   1.3mm,     58459.6258,     2.285,    0.081,    7.994,   1.267,   4.547,  1.264,    9.1,  1.3,    14.8,   3.9
2230+114,   1.3mm,     58459.5992,     2.791,    0.070,   -4.296,   0.766,   3.253,  1.003,    5.3,  0.9,    71.4,   4.9
2251+158,   1.3mm,     58459.6442,     4.464,    0.223,   -2.935,   1.596,   0.085,  1.949,    2.5,  1.6,    89.2,   19.0


3c273,       3mm,      58459.4842,     10.447,   0.369,    1.243,   0.348,   -4.94,  0.363,   5.07,   0.4, 142.06,   0.03
3c279,       3mm,      58459.4646,     15.614,   0.552,    2.711,   0.361,   7.127,  0.347,   7.62,   0.3,  34.58,   0.01
1308+326,    3mm,      58459.5283,      1.225,   0.061,   -0.189,   0.511,  -3.267,  0.544,      low SNR 
3c286,       3mm,      58459.5396,      0.955,   0.034,    4.650,   0.368,  14.100,  0.395,   13.8,   6.8,  35.87,   0.15
1641+399,    3mm,      58459.5583,      4.388,   0.155,    0.878,   0.364,   2.551,  0.349,    2.4,  0.98,  35.50,   0.19
1749+096,    3mm,      58459.5150,      3.703,   0.107,    0.468,   0.280,   3.515,  0.298,    3.2,  1.16,  41.21,   0.16
2200+420,    3mm,      58459.6258,      2.581,   0.091,    4.407,   0.359,   1.024,  0.359,   4.04,  1.68,   6.54,    0.2
2230+114,    3mm,      58459.5992,      4.423,   0.111,   -1.767,   0.276,   2.116,  0.227,   2.49,  0.96,   64.9,    0.2
2251+158,    3mm,      58459.6442,     10.494,   0.525,    1.089,   0.538,  -2.864,  0.467,    3.0,  0.38,  -34.6,    0.1


# CRAB
# Freq [GHz]   I[Jy]   dI[Jy]       Q[Jy]     dQ[Jy]        U[Jy]   dU[Jy]     Ipol[Jy]  dIpol[Jy]      p[%]    dp[%]     chi[deg]  dchi[deg]
    100,    229.23,     1.15,       15.92,     0.07,         1.38,   0.09,      15.99,     0.15,        6.97,   0.03,     -87.52,     0.16
    143,    193.21,     2.67,       12.43,     0.14,         1.48,   0.09,      12.52,     0.29,        6.48,   0.08,     -86.61,     0.21
    217,    172.73,     1.6 ,       12.20,     0.08,         0.88,   0.11,      12.23,     0.17,        7.08,   0.05,     -87.93,     0.25
    353,    144.84,     1.75,       10.01,     0.29,         1.15,   0.18,      10.16,     0.60,        7.01,   0.20,     -86.76,     0.52

 


 

 


 


